"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","NAV_ID","NAV_TYPE","BEARING","DISTANCE","File","Action","Mods"
"2026/04/16","ECTOR","K4","TX","US","MAF","LOC","284.66","","2","Deleted",""
"2026/04/16","ECTOR","K4","TX","US","MAF","VORTAC","231.14","5","2","Deleted",""
"2026/04/16","EDGES","K1","ID","US","YXC","VOR/DME","191.78","40","1","Modified","BEARING DISTANCE"
"2026/05/14","EDGES","K1","ID","US","YXC","VOR/DME","191.76","37.6","2","Modified","BEARING DISTANCE"
"2026/04/16","EGMON","K4","OK","US","HBR","VORTAC","238.87","","2","Deleted",""
"2026/04/16","EGMON","K4","OK","US","LTS","VORTAC","302.3","8.98","2","Deleted",""
"2026/04/16","EHXIV","K4","TX","US","UKW","VORTAC","137.32","20","2","Deleted",""
"2026/04/16","EKUKS","K4","OK","US","PER","VORTAC","263.4","9.13","2","Deleted",""
"2026/04/16","ELKOE","K2","CA","US","MYV","VOR/DME","174","29.51","2","Deleted",""
"2026/04/16","ELKOE","K2","CA","US","SAC","VORTAC","311.99","11.9","2","Deleted",""
"2026/04/16","ELYSE","K5","IN","US","MQJ","LOC","72.01","","1","Modified","BEARING"
"2026/05/14","ELYSE","K5","IN","US","MQJ","LOC","72.02","","2","Modified","BEARING"
"2026/04/16","EMDEW","K3","ND","US","MOT","VOR/DME","247","3","2","Deleted",""
"2026/04/16","EMEBY","K3","ND","US","MOT","VOR/DME","84","3.6","2","Deleted",""
"2026/04/16","EMMLN","K2","CA","US","VCV","VOR/DME","122.58","","2","Deleted",""
"2026/04/16","EMPOR","K6","PA","US","ETG","VORTAC","333.11","","2","Deleted",""
"2026/04/16","EMPOR","K6","PA","US","SLT","VORTAC","263.92","18.37","2","Deleted",""
"2026/04/16","EMUNY","K6","PA","US","GXU","VORTAC","332.38","","2","Deleted",""
"2026/04/16","EMUNY","K6","PA","US","TTN","LOC","238.48","","2","Deleted",""
"2026/04/16","EMUPE","K4","LA","US","MLU","VORTAC","26","16.11","2","Deleted",""
"2026/04/16","ENTUR","K4","TX","US","UKW","VORTAC","137.32","15","2","Deleted",""
"2026/04/16","EPICI","K3","KS","US","DDC","VORTAC","332.98","7","2","Deleted",""
"2026/04/16","EUREK","K3","KS","US","EMP","VORTAC","187.49","21.27","2","Deleted",""
"2026/04/16","EWABE","PH","HI","US","HNL","LOC","259.01","8.08","2","Deleted",""
"2026/04/16","FANAB","K5","IN","US","OOM","VORTAC","159","19.38","2","Deleted",""
"2026/04/16","FAXIG","K5","IN","US","MIE","VOR/DME","62.57","8.77","2","Deleted",""
"2026/04/16","FEBOM","K4","LA","US","BAD","LOC","149.44","","1","Modified","BEARING"
"2026/05/14","FEBOM","K4","LA","US","BAD","LOC","149.42","","2","Modified","BEARING"
"2026/04/16","FEBOM","K4","LA","US","EMG","VORTAC","","1.31","1","Modified","BEARING DISTANCE"
"2026/05/14","FEBOM","K4","LA","US","EMG","VORTAC","148.41","1.5","2","Modified","BEARING DISTANCE"
"2026/04/16","FELIT","K5","KY","US","LOZ","VOR/DME","205.32","8.96","2","Deleted",""
"2026/04/16","FESAV","K2","CA","US","CCR","VOR/DME","249.59","","2","Deleted",""
"2026/04/16","FESAV","K2","CA","US","SGD","VORTAC","162.31","","2","Deleted",""
"2026/04/16","FIKIB","K5","MI","US","MOP","VOR/DME","178.38","17.97","2","Deleted",""
"2026/04/16","FILKO","K5","MI","US","MOP","VOR/DME","178.38","7","2","Deleted",""
"2026/04/16","FILMA","K4","TX","US","FZT","VOR/DME","201.67","19.32","2","Deleted",""
"2026/04/16","FISBI","K2","AZ","US","RYN","NDB","254.47","","2","Deleted",""
"2026/04/16","FISBI","K2","AZ","US","TUS","VORTAC","","16.59","2","Deleted",""
"2026/04/16","FLEAT","K2","CA","US","CCR","VOR/DME","314.99","","2","Deleted",""
"2026/04/16","FLIED","K5","OH","US","ROD","VORTAC","68.89","14.31","2","Deleted",""
"2026/04/16","FODAR","K5","MI","US","PLN","VORTAC","261.99","8","2","Deleted",""
"2026/04/16","FOGEM","K2","UT","US","TVY","LOC","346.12","25.15","1","Modified","BEARING"
"2026/05/14","FOGEM","K2","UT","US","TVY","LOC","346.11","25.15","2","Modified","BEARING"
"2026/04/16","FOOTE","K5","IN","US","FWA","VORTAC","209.38","","2","Deleted",""
"2026/04/16","FOOTE","K5","IN","US","MIE","VOR/DME","322.66","10","2","Deleted",""
"2026/04/16","FORRA","K7","FL","US","EYW","VORTAC","98","4","2","Deleted",""
"2026/04/16","FORXS","K2","UT","US","BNT","LOC","","0.19","2","Deleted",""
"2026/04/16","FORXS","K2","UT","US","UTJ","LOC","163.95","","1","Modified","DISTANCE"
