"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PCN","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW","File","Action","Mods"
"2026/04/16","17017.9","A","NC","64NC","PLEASANT GARDEN","US","01/19","1800","50","TURF","","NONE","","","","","","","","","","","","","1","Modified","RWY_LEN COND RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/05/14","17017.9","A","NC","64NC","PLEASANT GARDEN","US","01/19","3000","50","TURF","FAIR","NONE","","","","","","","ADO","2026/03/25","","","","","2","Modified","RWY_LEN COND RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/04/16","17082.14","A","NC","NC00","SANFORD","US","18/36","2000","24","ASPH","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","17158.12","A","NC","NC58","TAYLORSVILLE","US","09/27","2000","60","TURF","","NONE","","","","","","","","","","","","","1","Modified","RWY_LEN COND RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/05/14","17158.12","A","NC","NC58","TAYLORSVILLE","US","09/27","3400","60","TURF","FAIR","NONE","","","","","","","ADO","2026/03/25","","","","","2","Modified","RWY_LEN COND RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/04/16","17190.","A","NC","OCW","WASHINGTON","US","05/23","5000","100","ASPH","EXCELLENT","NONE","","","","","","MED","3RD PARTY SURVEY","2007/09/06","30","38","","","1","Modified","LENGTH_SOURCE_DATE"
"2026/05/14","17190.","A","NC","OCW","WASHINGTON","US","05/23","5000","100","ASPH","EXCELLENT","NONE","","","","","","MED","3RD PARTY SURVEY","2024/12/11","30","38","","","2","Modified","LENGTH_SOURCE_DATE"
"2026/04/16","17190.","A","NC","OCW","WASHINGTON","US","17/35","5000","75","ASPH-CONC","FAIR","NONE","","","","","","","3RD PARTY SURVEY","2007/09/06","22","","","","1","Modified","RWY_LEN LENGTH_SOURCE_DATE"
"2026/05/14","17190.","A","NC","OCW","WASHINGTON","US","17/35","5001","75","ASPH-CONC","FAIR","NONE","","","","","","","3RD PARTY SURVEY","2024/12/11","22","","","","2","Modified","RWY_LEN LENGTH_SOURCE_DATE"
"2026/04/16","17209.","A","NC","MCZ","WILLIAMSTON","US","03/21","5000","75","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2020/04/13","21","","","","1","Modified","LENGTH_SOURCE_DATE"
"2026/05/14","17209.","A","NC","MCZ","WILLIAMSTON","US","03/21","5000","75","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2025/07/21","21","","","","2","Modified","LENGTH_SOURCE_DATE"
"2026/04/16","17433.","A","ND","8J7","NEW ROCKFORD","US","13/31","3600","60","ASPH","EXCELLENT","NONE","","","","","","","","","12.5","","","","1","Modified","RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/05/14","17433.","A","ND","8J7","NEW ROCKFORD","US","13/31","3600","60","ASPH","EXCELLENT","NONE","","","","","","","FAA OE/AAA","2026/03/12","12.5","","","","2","Modified","RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/04/16","19072.01","A","OK","O44","LEXINGTON","US","17/35","2135","80","TURF","GOOD","NONE","","","","","","","","","","","","","1","Modified","COND"
"2026/05/14","19072.01","A","OK","O44","LEXINGTON","US","17/35","2135","80","TURF","FAIR","NONE","","","","","","","","","","","","","2","Modified","COND"
"2026/04/16","19366.23","H","OR","53OR","BEAVERTON","US","H1","90","90","CONC","","NONE","","","","","","","","","","","","","1","Modified","RWY_LEN RWY_WIDTH COND RWY_LGT_CODE RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/05/14","19366.23","H","OR","53OR","BEAVERTON","US","H1","45","45","CONC","FAIR","NONE","","","","","","PERI","ADO","2026/03/16","","","","","2","Modified","RWY_LEN RWY_WIDTH COND RWY_LGT_CODE RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/04/16","19377.1","A","OR","81OR","BURNS","US","04/22","2000","80","TURF-DIRT","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","19575.21","A","OR","OR85","PRINEVILLE","US","09/27","1701","80","TURF","","NONE","","","","","","","OWNER","2020/11/04","","","","","1","Modified","COND"
"2026/05/14","19575.21","A","OR","OR85","PRINEVILLE","US","09/27","1701","80","TURF","FAIR","NONE","","","","","","","OWNER","2020/11/04","","","","","2","Modified","COND"
