"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","SPEED_RANGE","ALTITUDE","File","Action","Mods"
"2026/04/16","SHIRN INT*IA*K3","1","IA","US","200","26/60","2","Deleted",""
"2026/04/16","SKEAT INT*IN*K5","1","IN","US","200","25/60","2","Deleted",""
"2026/04/16","SKIPP INT*FL*K7","1","FL","US","230","16/40","2","Deleted",""
"2026/04/16","SKIPP WP*FL*K7","2","FL","US","230","26/40","2","Deleted",""
"2026/04/16","SKYLA INT*TX*K4","1","TX","US","170/175","30/100","2","Deleted",""
"2026/04/16","SKYLA INT*TX*K4","1","TX","US","200/230","30/100","2","Deleted",""
"2026/04/16","SNOOP LOM*MO","1","MO","US","200","24/60","2","Deleted",""
"2026/04/16","SOCCA INT*KS*K3","1","KS","US","200/230","36/140","2","Deleted",""
"2026/04/16","SOCORRO VORTAC*NM","1","NM","US","230","80/175","2","Deleted",""
"2026/04/16","SOCORRO VORTAC*NM","2","NM","US","230","80/175","2","Deleted",""
"2026/04/16","SOCORRO VORTAC*NM","3","NM","US","230","80/140","2","Deleted",""
"2026/04/16","SOCORRO VORTAC*NM","4","NM","US","230","100/140","2","Deleted",""
"2026/04/16","SOCORRO VORTAC*NM","4","NM","US","310","100/140","2","Deleted",""
"2026/04/16","SPENCER VOR/DME*IA","1","IA","US","200","30/60","2","Deleted",""
"2026/04/16","SPENCER VOR/DME*IA","2","IA","US","100","30/60","2","Deleted",""
"2026/04/16","SPENCER VOR/DME*IA","3","IA","US","200","30/60","2","Deleted",""
"2026/04/16","SPRINGFIELD VORTAC*MO","1","MO","US","200","29/175","2","Deleted",""
"2026/04/16","STUEE INT*LA*K4","1","LA","US","200","30/60","2","Deleted",""
"2026/04/16","STUEE INT*LA*K4","1","LA","US","310","30/60","2","Deleted",""
"2026/04/16","STULL INT*SC*K7","1","SC","US","200","40/60","2","Deleted",""
"2026/04/16","STULL INT*SC*K7","1","SC","US","310","40/60","2","Deleted",""
"2026/04/16","STULL WP*SC*K7","3","SC","US","200","40/60","2","Deleted",""
"2026/04/16","STULL WP*SC*K7","3","SC","US","310","40/60","2","Deleted",""
"2026/04/16","STURG INT*SD*K3","1","SD","US","310","190/200","2","Deleted",""
"2026/04/16","STURGIS NDB*MI","1","MI","US","230","25/60","2","Deleted",""
"2026/04/16","STURGIS NDB*MI","2","MI","US","230","25/60","2","Deleted",""
"2026/04/16","SUNSHINE VOR/DME*MO","1","MO","US","200","31/120","2","Deleted",""
"2026/04/16","SUNSHINE VOR/DME*MO","1","MO","US","310","31/120","2","Deleted",""
"2026/04/16","SUNSHINE VOR/DME*MO","2","MO","US","200","27/120","2","Deleted",""
"2026/04/16","SUNSHINE VOR/DME*MO","3","MO","US","200","31/120","2","Deleted",""
"2026/04/16","TAGDE WP*KY*K5","1","KY","US","100","21/100","2","Deleted",""
"2026/04/16","TIFFIN NDB*OH","1","OH","US","200","24/60","2","Deleted",""
"2026/04/16","TRIER WP*ME*K6","1","ME","US","230","64/80","2","Deleted",""
"2026/04/16","UNIVERSITY NDB*OH","2","OH","US","200","30/60","2","Deleted",""
"2026/04/16","UNIVERSITY NDB*OH","2","OH","US","230","60/80","2","Deleted",""
"2026/04/16","UNIVERSITY NDB*OH","3","OH","US","200","30/60","2","Deleted",""
"2026/04/16","UNIVERSITY NDB*OH","3","OH","US","230","60/80","2","Deleted",""
"2026/04/16","VERSI INT*WV*K6","1","WV","US","200","26/100","2","Deleted",""
"2026/04/16","WADOD WP*OH*K5","1","OH","US","175","27/27","2","Deleted",""
"2026/04/16","WAHOO NDB*NE","1","NE","US","200","35/60","2","Deleted",""
"2026/04/16","WANDY INT*KS*K3","1","KS","US","200","30/60","2","Deleted",""
"2026/04/16","WANDY INT*KS*K3","1","KS","US","310","30/60","2","Deleted",""
"2026/04/16","WAYNE COUNTY NDB*IL","1","IL","US","200/230","21/60","2","Deleted",""
"2026/04/16","WEBSTER LAKE VOR*IN","1","IN","US","200","27/60","2","Deleted",""
"2026/04/16","WILEY POST VOR/DME*OK","1","OK","US","230","40/40","2","Deleted",""
"2026/04/16","WINK VORTAC*TX","1","TX","US","200","50/140","2","Deleted",""
"2026/04/16","WINK VORTAC*TX","1","TX","US","310","50/140","2","Deleted",""
"2026/04/16","WINK VORTAC*TX","2","TX","US","200","60/140","2","Deleted",""
"2026/04/16","WIRUV INT*MN*K3","1","MN","US","200","25/60","2","Deleted",""
"2026/04/16","YIGUT WP*IL*K5","1","IL","US","200","24/60","2","Deleted",""
"2026/04/16","YORK NDB*NE","1","NE","US","200","33/60","2","Deleted",""
"2026/04/16","YORK NDB*NE","2","NE","US","200","33/60","2","Deleted",""
"2026/04/16","ZELEB INT*AR*K4","1","AR","US","200","20/60","2","Deleted",""
"2026/04/16","ZILOD INT*UT*K2","1","UT","US","230","135/175","2","Deleted",""
"2026/04/16","ZILOD INT*UT*K2","1","UT","US","310","135/175","2","Deleted",""
"2026/04/16","ZOLMN WP*NC*K7","1","NC","US","200","40/60","2","Deleted",""
"2026/04/16","ZUMOV WP*PA*K6","1","PA","US","200/230","41/60","2","Deleted",""
"2026/04/16","ZUNMU INT*IA*K3","1","IA","US","200","30/60","2","Deleted",""
"2026/05/14","AFWAV WP*ND*K3","1","ND","US","200","38/60","2","Added",""
"2026/05/14","AKPUC WP*OH*K5","1","OH","US","200","30/80","2","Added",""
"2026/05/14","ALIXX INT*CT*K6","1","CT","US","200","40/110","2","Added",""
"2026/05/14","ALIXX WP*CT*K6","2","CT","US","200","40/110","2","Added",""
"2026/05/14","ALMAA WP*VA*K6","1","VA","US","200","58/80","2","Added",""
"2026/05/14","ALTUS VORTAC*OK","1","OK","US","265","120/120","2","Added",""
"2026/05/14","BADGER VOR/DME*WI","3","WI","US","200","28/60","2","Added",""
"2026/05/14","BALLL LOM*IN","1","IN","US","310","29/60","2","Added",""
"2026/05/14","BARGS INT*LA*K4","1","LA","US","310","120/130","2","Added",""
"2026/05/14","BARNES VORTAC*MA","1","MA","US","310","40/450","2","Added",""
"2026/05/14","BIROW WP*ME*K6","1","ME","US","200","34/60","2","Added",""
"2026/05/14","BISTE WP*NC*K7","1","NC","US","175","17/17","2","Added",""
"2026/05/14","BOURG INT*LA*K4","1","LA","US","310","18/60","2","Added",""
"2026/05/14","BOUTN LOM*OH","3","","","200","30/60","2","Added",""
"2026/05/14","BRIGGS VOR/DME*OH","3","OH","US","200","30/60","2","Added",""
