"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","FIX_ID","ICAO_REGION_CODE","NAV_ID","NAV_TYPE","HOLD_DIRECTION","HOLD_DEG_OR_CRS","AZIMUTH","COURSE_INBOUND_DEG","TURN_DIRECTION","LEG_LENGTH_DIST","File","Action","Mods"
"2026/04/16","GARYS LOM*TX","2","TX","US","","","RU","LO","NW","306","BRG","126","L","","2","Deleted",""
"2026/04/16","GENESEO VOR/DME*NY","5","NY","US","","","GEE","VOR/DME","SE","143","RAD","323","R","","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","2","MI","US","","","GIJ","VORTAC","W","282","RAD","102","R","","1","Modified","HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/05/14","GIPPER VORTAC*MI","2","MI","US","","","GIJ","VORTAC","W","270","RAD","90","R","","2","Modified","HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/04/16","GIPPER VORTAC*MI","3","MI","US","","","GIJ","VORTAC","W","270","RAD","90","R","","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","4","MI","US","","","GIJ","VORTAC","E","90","RNAV","270","R","10","2","Deleted",""
"2026/04/16","GIPPER VORTAC*MI","5","MI","US","","","GIJ","VORTAC","SW","226","RAD","46","L","","2","Deleted",""
"2026/04/16","GORDONSVILLE VORTAC*VA","5","VA","US","","","GVE","VORTAC","W","272","RNAV","92","L","10","1","Modified","HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/05/14","GORDONSVILLE VORTAC*VA","5","VA","US","","","GVE","VORTAC","W","273","RNAV","93","L","10","2","Modified","HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/04/16","HARCUM VORTAC*VA","4","","","","","","","W","284","RNAV","104","L","10","1","Modified","STATE_CODE COUNTRY_CODE NAV_ID NAV_TYPE"
"2026/05/14","HARCUM VORTAC*VA","4","VA","US","","","HCM","VORTAC","W","284","RNAV","104","L","10","2","Modified","STATE_CODE COUNTRY_CODE NAV_ID NAV_TYPE"
"2026/04/16","HARTZ INT*MI*K5","1","MI","US","HARTZ","K5","SVM","VORTAC","SW","215","RAD","35","R","4","2","Deleted",""
"2026/04/16","HAUWK INT*LA*K4","1","LA","US","HAUWK","K4","LFT","VORTAC","S","343","RAD","343","R","","2","Deleted",""
"2026/04/16","HAZKU INT*IN*K5","1","IN","US","HAZKU","K5","FWA","VORTAC","SW","245","RAD","65","R","","2","Deleted",""
"2026/04/16","HICNY INT*LA*K4","1","LA","US","HICNY","K4","MLU","VORTAC","E","267","RAD","267","R","","2","Deleted",""
"2026/04/16","HOGSI WP*CA*K2","1","CA","US","HOGSI","K2","","","","22","RNAV","202","R","4","2","Deleted",""
"2026/04/16","HORBL WP*CA*K2","1","CA","US","HORBL","K2","","","NW","297","RNAV","117","L","4","2","Deleted",""
