"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","FIX_ID_OLD","CHARTING_REMARK","FIX_USE_CODE","ARTCC_ID_HIGH","ARTCC_ID_LOW","PITCH_FLAG","CATCH_FLAG","SUA_ATCAA_FLAG","MIN_RECEP_ALT","COMPULSORY","CHARTS","File","Action","Mods"
"2026/05/14","BUNTS","K6","PA","US","40","4","56.01","N","40.082225","75","44","54.95","W","-75.74859722","","RNAV","RP   ","ZNY","ZNY","N","N","N","","","CONTROLLER LOW,ENROUTE LOW,IAP,STAR","2","Modified","CHARTS"
"2026/04/16","BURGE","K4","TX","US","32","26","45.78","N","32.44605","99","46","27.13","W","-99.77420277","","","RP   ","ZFW","ZFW","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","BVRLY","K3","MO","US","37","22","52.6","N","37.38127777","93","31","17.45","W","-93.52151388","CASRI","RNAV","RP   ","ZKC","ZKC","N","N","N","","","IAP","1","Modified","LAT_MIN LAT_DECIMAL LONG_MIN LONG_SEC LONG_DECIMAL"
"2026/05/14","BVRLY","K3","MO","US","37","24","52.6","N","37.41461111","93","33","28.65","W","-93.55795833","CASRI","RNAV","RP   ","ZKC","ZKC","N","N","N","","","IAP","2","Modified","LAT_MIN LAT_DECIMAL LONG_MIN LONG_SEC LONG_DECIMAL"
"2026/04/16","BYRNE","K7","NC","US","35","3","54.71","N","35.06519722","78","36","28.59","W","-78.60794166","","RNAV","RP   ","ZDC","ZDC","N","N","N","","","ENROUTE LOW,IAP","1","Modified","CHARTS"
"2026/05/14","BYRNE","K7","NC","US","35","3","54.71","N","35.06519722","78","36","28.59","W","-78.60794166","","RNAV","RP   ","ZDC","ZDC","N","N","N","","","CONTROLLER LOW,ENROUTE LOW,IAP","2","Modified","CHARTS"
"2026/04/16","BYRNS","K5","IL","US","39","0","23.94","N","39.00665","90","22","44.17","W","-90.37893611","","","RP   ","ZKC","ZKC","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","BYSEL","K6","MD","US","38","15","2.7","N","38.25075","75","16","52.87","W","-75.28135277","DLAAY","","WP   ","ZDC","ZDC","N","N","N","","","CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,STAR","1","Modified","CHARTS"
"2026/05/14","BYSEL","K6","MD","US","38","15","2.7","N","38.25075","75","16","52.87","W","-75.28135277","DLAAY","","WP   ","ZDC","ZDC","N","N","N","","","CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR","2","Modified","CHARTS"
"2026/04/16","BZXIV","K1","ID","US","49","0","0","N","49","116","31","51.36","W","-116.53093333","","","CN   ","ZSE","ZSE","N","N","N","","","ENROUTE HIGH,ENROUTE LOW","2","Deleted",""
"2026/04/16","CABIS","K6","PA","US","41","7","48.77","N","41.13021388","77","20","28.09","W","-77.34113611","","","WP   ","ZNY","ZNY","N","N","N","","","NOT REQUIRED","2","Deleted",""
"2026/04/16","CADAY","K5","OH","US","40","24","1.48","N","40.40041111","83","44","29.54","W","-83.74153888","","","RP   ","ZID","ZID","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","CAGYA","K4","LA","US","32","29","7.45","N","32.48540277","91","46","23.01","W","-91.77305833","","","WP   ","ZFW","ZFW","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","CAKRO","K4","TX","US","32","24","56.32","N","32.41564444","99","41","50.89","W","-99.69746944","","","RP   ","ZFW","ZFW","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","CAMPO","K6","ME","US","45","26","49.95","N","45.44720833","70","20","54.73","W","-70.34853611","","","WP   ","ZBW","ZBW","N","N","N","","","CONTROLLER LOW,ENROUTE LOW,IAP,SPECIAL DP","1","Modified","CHARTS"
"2026/05/14","CAMPO","K6","ME","US","45","26","49.95","N","45.44720833","70","20","54.73","W","-70.34853611","","","WP   ","ZBW","ZBW","N","N","N","","","CONTROLLER LOW,ENROUTE LOW,SECTIONAL,SPECIAL DP","2","Modified","CHARTS"
"2026/04/16","CARKO","K3","KS","US","37","6","56.43","N","37.115675","99","25","48.68","W","-99.43018888","","","RP   ","ZKC","ZKC","N","N","N","","","ENROUTE LOW","1","Modified","CHARTS"
"2026/05/14","CARKO","K3","KS","US","37","6","56.43","N","37.115675","99","25","48.68","W","-99.43018888","","","RP   ","ZKC","ZKC","N","N","N","","","CONTROLLER LOW,ENROUTE LOW","2","Modified","CHARTS"
"2026/04/16","CASTA","K2","CA","US","34","31","58.07","N","34.53279722","118","43","35.73","W","-118.72659166","","RNAV","RP   ","ZLA","ZLA","N","N","N","","","AREA,CONTROLLER,ENROUTE LOW,IAP,SID","1","Modified","CHARTS"
