"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC","File","Action","Mods"
"2026/04/16","OMAHA VORTAC*IA","3","IA","US","IAP","2","Deleted",""
"2026/04/16","ONIDA LOM*OH","2","OH","US","IAP","2","Deleted",""
"2026/04/16","ORD NDB*NE","1","NE","US","IAP","2","Deleted",""
"2026/04/16","OSIXE WP*IN*K5","1","IN","US","SPECIAL IAP","2","Deleted",""
"2026/04/16","OXONN INT*MD*K6","2","MD","US","IAP","2","Deleted",""
"2026/04/16","OXONN NDB*DC","1","DC","US","IAP","2","Deleted",""
"2026/04/16","OZORA INT*MO*K3","1","MO","US","IAP","2","Deleted",""
"2026/04/16","PEGTE INT*NC*K7","2","NC","US","IAP","2","Deleted",""
"2026/04/16","PERLE INT*IN*K5","1","IN","US","IAP","2","Deleted",""
"2026/04/16","PERRYTON NDB*TX","1","TX","US","IAP","2","Deleted",""
"2026/04/16","PERSN INT*TX*K4","1","TX","US","IAP","2","Deleted",""
"2026/04/16","PERSN WP*TX*K4","3","TX","US","IAP","2","Deleted",""
"2026/04/16","PHURN LOM*MI","2","MI","US","IAP","2","Deleted",""
"2026/04/16","PIERS INT*TX*K4","2","TX","US","IAP","2","Deleted",""
"2026/04/16","PIERS WP*TX*K4","1","TX","US","IAP","2","Deleted",""
"2026/04/16","PIONEER VORTAC*OK","2","OK","US","IAP","2","Deleted",""
"2026/04/16","PIONEER VORTAC*OK","3","OK","US","IAP","2","Deleted",""
"2026/04/16","PLATTSMOUTH NDB*NE","2","NE","US","IAP","2","Deleted",""
"2026/04/16","PLATTSMOUTH NDB*NE","3","NE","US","IAP","2","Deleted",""
"2026/04/16","POSEC WP*GA*K7","1","GA","US","NOT REQUIRED","2","Deleted",""
"2026/04/16","QUOTA INT*IL*K5","1","IL","US","IAP","2","Deleted",""
"2026/04/16","RAGUE INT*KY*K5","1","KY","US","IAP","2","Deleted",""
"2026/04/16","REBUT INT*OH*K5","1","OH","US","IAP","2","Deleted",""
"2026/04/16","RHINELANDER VOR/DME*WI","4","WI","US","IAP","2","Deleted",""
"2026/04/16","RITZS INT*OH*K5","1","OH","US","ENROUTE LOW","2","Deleted",""
"2026/04/16","RITZS WP*OH*K5","2","OH","US","IAP","2","Deleted",""
"2026/04/16","ROBERTS VOR/DME*IL","1","IL","US","IAP","2","Deleted",""
"2026/04/16","ROBINSON NDB*TX","1","TX","US","IAP","2","Deleted",""
"2026/04/16","ROCHESTER VOR/DME*MN","3","MN","US","IAP","2","Deleted",""
"2026/04/16","ROCK RIVER NDB*WI","1","WI","US","IAP","2","Deleted",""
"2026/04/16","ROCK RIVER NDB*WI","2","WI","US","IAP","2","Deleted",""
"2026/04/16","ROSEWOOD VORTAC*OH","3","OH","US","IAP","2","Deleted",""
"2026/04/16","ROSKY INT*WI*K5","1","WI","US","IAP","2","Deleted",""
"2026/04/16","RRICH WP*UT*K2","1","UT","US","STAR","2","Deleted",""
"2026/04/16","RUUSH INT*SD*K3","2","SD","US","MILITARY IAP","2","Deleted",""
"2026/04/16","SALEM VORTAC*MI","6","MI","US","IAP","2","Deleted",""
"2026/04/16","SALEM VORTAC*MI","7","MI","US","IAP","2","Deleted",""
"2026/04/16","SCOLD INT*SD*K3","2","SD","US","MILITARY IAP","2","Deleted",""
"2026/04/16","SEZER INT*KS*K3","1","KS","US","IAP","2","Deleted",""
"2026/04/16","SHELBYVILLE NDB*IL","1","IL","US","IAP","2","Deleted",""
"2026/04/16","SHIRN INT*IA*K3","1","IA","US","IAP","2","Deleted",""
