"Orig","Route String","Dest","Hours1","Type","Area","Altitude","Aircraft","Direction","Seq","DCNTR","ACNTR","File","Action","Mods"
"BED","BED PUT CCC TOPRR Q167 ZIZZI KNUKK ATR LAFLN MIIDY4 BWI","BWI","","H","TO BWI,MTN","","JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS REQUIRED","","1","ZBW","ZDC","2","Modified","Route String Hours1 Aircraft"
"BED","BED REVSS NELIE Q75 GVE AIROW CHSLY6 CLT","CLT","1100-0300","H","","","","","1","ZBW","ZTL","1","Modified","Route String"
"BED","BED REVSS NELIE Q75 GVE AIROW CHSLY7 CLT","CLT","1100-0300","H","","","","","1","ZBW","ZTL","2","Modified","Route String"
"BGR","BGR KAYCC KYLOH NELIE Q75 GVE AIROW CHSLY6 CLT","CLT","1100-0300","H","","","","","1","ZBW","ZTL","1","Modified","Route String"
"BGR","BGR KAYCC KYLOH NELIE Q75 GVE AIROW CHSLY7 CLT","CLT","1100-0300","H","","","","","1","ZBW","ZTL","2","Modified","Route String"
"BHM","BHM CHEHA KBLER KELLN Q58 PEETT THHMP RAVNN8 BWI","BWI","","H","","","","","2","ZTL","ZDC","1","Modified","Route String Area Aircraft"
"BHM","BHM CHEHA KBLER KELLN Q58 PEETT THHMP RAVNN9 BWI","BWI","","H","TO BWI, MTN","","JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS REQUIRED","","2","ZTL","ZDC","2","Modified","Route String Area Aircraft"
"BNA","BNA CHADM4 MUNNY TONIO Q34 SITTR CJAAE RAVNN8 BWI","BWI","","H","","","JET ONLY,  RNAV 1   PART 121 & 129 ONLY","","2","ZME","ZDC","1","Modified","Route String Area Aircraft"
"BNA","BNA CHADM4 MUNNY TONIO Q34 SITTR CJAAE RAVNN9 BWI","BWI","","H","TO BWI, MTN","","PT 121&129 JETS ONLY:RNAV 1-DME/DME/IRU OR GPS RQD","","2","ZME","ZDC","2","Modified","Route String Area Aircraft"
"BOS","BOS PATSS7 PATSS NELIE Q75 GVE AIROW CHSLY6 CLT","CLT","1100-0300","H","","","","","1","ZBW","ZTL","1","Modified","Route String"
"BOS","BOS PATSS7 PATSS NELIE Q75 GVE AIROW CHSLY7 CLT","CLT","1100-0300","H","","","","","1","ZBW","ZTL","2","Modified","Route String"
"BOS","BOS HYLND7 HYLND CAM Q822 GONZZ COLTS GIGGY2 DET","DET","1100-0300","H","TO DETROIT SATS(DET,CYQG ONLY)","","TURBOJETS ONLY: DME/DME/IRU OR GNSS REQUIRED","","2","ZBW","ZOB","1","Modified","Hours1 Area Aircraft"
"BOS","BOS HYLND7 HYLND CAM Q822 GONZZ COLTS GIGGY2 DET","DET","","H","TO DET, ONZ, TTF","","JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS","","2","ZBW","ZOB","2","Modified","Hours1 Area Aircraft"
"BOS","BOS BLZZR6 BLZZR BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH1 MSY","MSY","1100-0300","H","TO MSY,NEW,NBG","","TURBOJETS","","1","ZBW","ZHU","1","Modified","Route String Hours1 Aircraft"
"BOS","BOS BLZZR6 BLZZR BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH2 MSY","MSY","","H","TO MSY,NEW,NBG","","JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS","","1","ZBW","ZHU","2","Modified","Route String Hours1 Aircraft"
"BRADD","BRADD BOS Q75 GVE AIROW CHSLY6 CLT","CLT","","NAR","","","","WESTBOUND","1","ZBW","ZTL","1","Modified","Route String"
"BRADD","BRADD BOS Q75 GVE AIROW CHSLY7 CLT","CLT","","NAR","","","","WESTBOUND","1","ZBW","ZTL","2","Modified","Route String"
"BRADD","BRADD BOS BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH1 MSY","MSY","","NAR","","","","WESTBOUND","1","ZBW","ZHU","1","Modified","Route String"
"BRADD","BRADD BOS BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH2 MSY","MSY","","NAR","","","","WESTBOUND","1","ZBW","ZHU","2","Modified","Route String"
"BTV","BTV DENYU PONCT BIZEX Q75 GVE AIROW CHSLY6 CLT","CLT","","H","","","","","1","ZBW","ZTL","1","Modified","Route String"
"BTV","BTV DENYU PONCT BIZEX Q75 GVE AIROW CHSLY7 CLT","CLT","","H","","","","","1","ZBW","ZTL","2","Modified","Route String"
"BUF","BUF JHW HVQ LNDIZ PARQR4 CLT","CLT","","H","","","","","1","ZOB","ZTL","1","Modified","Route String"
"BUF","BUF JHW HVQ LNDIZ PARQR5 CLT","CLT","","H","","","","","1","ZOB","ZTL","2","Modified","Route String"
"BUF","BUF COLTS GIGGY2 DET","DET","1100-0300","H","TO DETROIT SATS(DET,CYQG ONLY)","","DME/DME/IRU OR GPS REQUIRED","","1","ZOB","ZOB","1","Modified","Hours1 Area Aircraft"
"BUF","BUF COLTS GIGGY2 DET","DET","","H","TO DET, ONZ, TTF","","RNAV 1 - DME/DME/IRU OR GPS","","1","ZOB","ZOB","2","Modified","Hours1 Area Aircraft"
"BWI","BWI DUKPN1 BROSS Q419 RBV Q22 LLUND BIZEX CAM GRNMT BTV BTV","BTV","","H","","","JETS","","1","ZDC","ZBW","1","Modified","Route String Aircraft"
"BWI","BWI DUKPN1 BROSS Q419 RBV Q22 LLUND BIZEX CAM GRNMT BTV","BTV","","H","","","JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS.","","1","ZDC","ZBW","2","Modified","Route String Aircraft"
"BWI","BWI TERPZ8 GLANC AIROW CHSLY6 CLT","CLT","","H","","","","","1","ZDC","ZTL","1","Modified","Route String"
"BWI","BWI TERPZ8 GLANC AIROW CHSLY7 CLT","CLT","","H","","","","","1","ZDC","ZTL","2","Modified","Route String"
