navId,navType,sourceRowId,name,city,stateCode,countryCode,regionCode,lat,lon,freq,chan,navStatus,nasUseFlag,publicUseFlag,highAltArtccId,lowAltArtccId,legacyNavIdTypeKey,currentPointKey
AQ,NDB,69,KOOKY,APPLETON,WI,US,AGL,44.21594777,-88.39893902,407,,OPERATIONAL IFR,Y,Y,ZMP,ZMP,POINT:NAVAID:AQ:NDB,POINT:NAVAID:AQ:NDB:US:WI:APPLETON
AQE,NDB,70,ALWOOD,GREENVILLE,NC,US,ASO,35.70689011,-77.37187452,230,,OPERATIONAL IFR,Y,Y,ZDC,ZDC,POINT:NAVAID:AQE:NDB,POINT:NAVAID:AQE:NDB:US:NC:GREENVILLE
ARD,VOR/DME,71,YARDLEY,YARDLEY,PA,US,AEA,40.25334247,-74.90761238,108.2,19X,OPERATIONAL RESTRICTED,Y,Y,ZDC,ZDC,POINT:NAVAID:ARD:VOR/DME,POINT:NAVAID:ARD:VOR/DME:US:PA:YARDLEY
ARG,VORTAC,72,WALNUT RIDGE,WALNUT RIDGE,AR,US,ASW,36.11001991,-90.9536933,114.5,92X,OPERATIONAL RESTRICTED,Y,Y,ZME,ZME,POINT:NAVAID:ARG:VORTAC,POINT:NAVAID:ARG:VORTAC:US:AR:WALNUT_RIDGE
ARH,TACAN,73,FORT HUACHUCA,FORT HUACHUCA,AZ,US,AWP,31.58558136,-110.33898427,111.6,53X,OPERATIONAL RESTRICTED,Y,Y,ZAB,ZAB,POINT:NAVAID:ARH:TACAN,POINT:NAVAID:ARH:TACAN:US:AZ:FORT_HUACHUCA
ART,VORTAC,74,WATERTOWN,WATERTOWN,NY,US,AEA,43.95213166,-76.06462686,109.8,35X,OPERATIONAL RESTRICTED,Y,Y,ZBW,ZBW,POINT:NAVAID:ART:VORTAC,POINT:NAVAID:ART:VORTAC:US:NY:WATERTOWN
ASP,DME,75,AU SABLE,OSCODA,MI,US,AGL,44.44912813,-83.39428336,116.1,108X,OPERATIONAL RESTRICTED,Y,Y,ZMP,ZMP,POINT:NAVAID:ASP:DME,POINT:NAVAID:ASP:DME:US:MI:OSCODA
AST,FAN_MARKER,76,FORT STEVENS,ASTORIA,OR,US,ANM,46.20843611,-123.96542555,,,OPERATIONAL IFR,Y,Y,ZSE,ZSE,POINT:NAVAID:AST:FAN_MARKER,POINT:NAVAID:AST:FAN_MARKER:US:OR:ASTORIA
AST,VOR/DME,77,ASTORIA,ASTORIA,OR,US,ANM,46.16169902,-123.88037527,114,87X,OPERATIONAL RESTRICTED,Y,Y,ZSE,ZSE,POINT:NAVAID:AST:VOR/DME,POINT:NAVAID:AST:VOR/DME:US:OR:ASTORIA
AT,NDB,78,BRUNY,DAYTON,OH,US,AGL,39.84693708,-84.33492308,315,,OPERATIONAL IFR,Y,Y,ZID,ZID,POINT:NAVAID:AT:NDB,POINT:NAVAID:AT:NDB:US:OH:DAYTON
ATA,NDB,79,ATLANTA,ATLANTA,TX,US,ASW,33.10420219,-94.19006172,347,,OPERATIONAL IFR,Y,Y,ZFW,ZFW,POINT:NAVAID:ATA:NDB,POINT:NAVAID:ATA:NDB:US:TX:ATLANTA
ATR,VOR/DME,80,WATERLOO,WATERLOO,DE,US,AEA,38.80981022,-75.21132236,112.6,73X,OPERATIONAL RESTRICTED,Y,Y,ZDC,ZDC,POINT:NAVAID:ATR:VOR/DME,POINT:NAVAID:ATR:VOR/DME:US:DE:WATERLOO
ATY,TACAN,81,WATERTOWN,WATERTOWN,SD,US,AGL,44.97968638,-97.14172236,116.6,113X,OPERATIONAL IFR,Y,Y,ZMP,ZMP,POINT:NAVAID:ATY:TACAN,POINT:NAVAID:ATY:TACAN:US:SD:WATERTOWN
AU,NDB,82,DUNNS,AUGUSTA,ME,US,ANE,44.41091938,-69.86066622,366,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:AU:NDB,POINT:NAVAID:AU:NDB:US:ME:AUGUSTA
AUG,VOR/DME,83,AUGUSTA,AUGUSTA,ME,US,ANE,44.32002036,-69.7965643,114.95,96Y,OPERATIONAL RESTRICTED,Y,Y,ZBW,ZBW,POINT:NAVAID:AUG:VOR/DME,POINT:NAVAID:AUG:VOR/DME:US:ME:AUGUSTA
AUR,NDB,84,SULPHUR,SULPHUR,LA,US,ASW,30.19852061,-93.4206403,278,,OPERATIONAL IFR,Y,Y,ZHU,ZHU,POINT:NAVAID:AUR:NDB,POINT:NAVAID:AUR:NDB:US:LA:SULPHUR
AVE,VOR/DME,85,AVENAL,AVENAL,CA,US,AWP,35.64697555,-119.97860555,117.1,118X,OPERATIONAL RESTRICTED,Y,Y,ZLA,ZLA,POINT:NAVAID:AVE:VOR/DME,POINT:NAVAID:AVE:VOR/DME:US:CA:AVENAL
AW,NDB,86,WATON,ARLINGTON,WA,US,ANM,48.07611997,-122.15391163,382,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:AW:NDB,POINT:NAVAID:AW:NDB:US:WA:ARLINGTON
AWK,VORTAC,87,WAKE ISLAND,WAKE ISLAND,QW,US,AWP,19.28658611,166.62731944,113.5,82X,OPERATIONAL IFR,Y,Y,,ZHN,POINT:NAVAID:AWK:VORTAC,POINT:NAVAID:AWK:VORTAC:US:QW:WAKE_ISLAND
AXC,VORTAC,88,ADDERS,DECATUR,IL,US,AGL,39.73752147,-88.8564315,117.2,119X,OPERATIONAL IFR,Y,Y,ZKC,ZKC,POINT:NAVAID:AXC:VORTAC,POINT:NAVAID:AXC:VORTAC:US:IL:DECATUR
AXN,VOR/DME,89,ALEXANDRIA,ALEXANDRIA,MN,US,AGL,45.95838825,-95.23263483,115.95,106Y,OPERATIONAL RESTRICTED,Y,Y,ZMP,ZMP,POINT:NAVAID:AXN:VOR/DME,POINT:NAVAID:AXN:VOR/DME:US:MN:ALEXANDRIA
AY,NDB,90,WIKET,WAYCROSS,GA,US,ASO,31.32580663,-82.3977785,219,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:AY:NDB,POINT:NAVAID:AY:NDB:US:GA:WAYCROSS
AYS,VORTAC,91,WAYCROSS,WAYCROSS,GA,US,ASO,31.26942527,-82.55644555,112.4,71X,OPERATIONAL RESTRICTED,Y,Y,ZJX,ZJX,POINT:NAVAID:AYS:VORTAC,POINT:NAVAID:AYS:VORTAC:US:GA:WAYCROSS
AZ,NDB,92,AUSTN,KALAMAZOO,MI,US,AGL,42.13116327,-85.52974736,371,,OPERATIONAL IFR,Y,Y,ZAU,ZAU,POINT:NAVAID:AZ:NDB,POINT:NAVAID:AZ:NDB:US:MI:KALAMAZOO
AZN,NDB,93,AMAZON,ST JOSEPH,MO,US,ACE,39.88381844,-94.90815188,233,,OPERATIONAL IFR,Y,Y,ZKC,ZKC,POINT:NAVAID:AZN:NDB,POINT:NAVAID:AZN:NDB:US:MO:ST_JOSEPH
AZO,DME,94,KALAMAZOO,KALAMAZOO,MI,US,AGL,42.23698591,-85.55315175,109,27X,OPERATIONAL RESTRICTED,Y,Y,ZAU,ZAU,POINT:NAVAID:AZO:DME,POINT:NAVAID:AZO:DME:US:MI:KALAMAZOO
AZQ,DME,95,HAZARD,HAZARD,KY,US,ASO,37.3912573,-83.26300508,111.2,49X,OPERATIONAL RESTRICTED,Y,Y,ZID,ZID,POINT:NAVAID:AZQ:DME,POINT:NAVAID:AZQ:DME:US:KY:HAZARD
BA,NDB,96,CLIFS,COLUMBUS,IN,US,AGL,39.32199338,-85.81859958,410,,OPERATIONAL IFR,Y,Y,ZID,ZID,POINT:NAVAID:BA:NDB,POINT:NAVAID:BA:NDB:US:IN:COLUMBUS
BAB,TACAN,97,BEALE,MARYSVILLE,CA,US,AWP,39.13479488,-121.44075797,108.6,23X,OPERATIONAL RESTRICTED,Y,Y,ZOA,ZOA,POINT:NAVAID:BAB:TACAN,POINT:NAVAID:BAB:TACAN:US:CA:MARYSVILLE
BAD,TACAN,98,BARKSDALE,BOSSIER CITY,LA,US,ASW,32.50333888,-93.66776944,115.8,105X,OPERATIONAL RESTRICTED,Y,Y,ZFW,ZFW,POINT:NAVAID:BAD:TACAN,POINT:NAVAID:BAD:TACAN:US:LA:BOSSIER_CITY
BAE,VOR/DME,99,BADGER,MILWAUKEE,WI,US,AGL,43.11685325,-88.28434405,116.4,111X,OPERATIONAL IFR,Y,Y,ZAU,ZAU,POINT:NAVAID:BAE:VOR/DME,POINT:NAVAID:BAE:VOR/DME:US:WI:MILWAUKEE
BAF,VORTAC,100,BARNES,WESTFIELD/SPRINGFIELD,MA,US,ANE,42.16195908,-72.7161995,113,77X,OPERATIONAL RESTRICTED,Y,Y,ZBW,ZBW,POINT:NAVAID:BAF:VORTAC,POINT:NAVAID:BAF:VORTAC:US:MA:WESTFIELD/SPRINGFIELD
BAL,VORTAC,101,BALTIMORE,BALTIMORE,MD,US,AEA,39.17106341,-76.66125625,115.1,98X,OPERATIONAL RESTRICTED,Y,Y,ZDC,ZDC,POINT:NAVAID:BAL:VORTAC,POINT:NAVAID:BAL:VORTAC:US:MD:BALTIMORE
BAM,VORTAC,102,BATTLE MOUNTAIN,BATTLE MOUNTAIN,NV,US,AWP,40.56908061,-116.92225627,112.2,59X,OPERATIONAL RESTRICTED,Y,Y,ZLC,ZLC,POINT:NAVAID:BAM:VORTAC,POINT:NAVAID:BAM:VORTAC:US:NV:BATTLE_MOUNTAIN
