procedureKey,procedureType,procedurePathKey,routeName,routeNameFirstToken,routeNameLastToken,operationalStartRawPoint,operationalEndRawPoint,directionNameStatus
PROCEDURE:STAR:SHFTY.SHFTY6,STAR,PROC_PATH:PROCEDURE:STAR:SHFTY.SHFTY6:BODY:SHFTY-RODDE:1:,SHFTY-RODDE,SHFTY,RODDE,SHFTY,RODDE,matches_operational_endpoints
PROCEDURE:STAR:SHFTY.SHFTY6,STAR,PROC_PATH:PROCEDURE:STAR:SHFTY.SHFTY6:BODY:SHFTY-STERO:1:,SHFTY-STERO,SHFTY,STERO,SHFTY,STERO,matches_operational_endpoints
PROCEDURE:STAR:SHFTY.SHFTY6,STAR,PROC_PATH:PROCEDURE:STAR:SHFTY.SHFTY6:BODY:SHFTY-TIOFF:1:,SHFTY-TIOFF,SHFTY,TIOFF,SHFTY,TIOFF,matches_operational_endpoints
PROCEDURE:STAR:SHILO.SKILS5,STAR,PROC_PATH:PROCEDURE:STAR:SHILO.SKILS5:BODY:SHILO-CAVDI:1:,SHILO-CAVDI,SHILO,CAVDI,SHILO,CAVDI,matches_operational_endpoints
PROCEDURE:STAR:SHILO.SKILS5,STAR,PROC_PATH:PROCEDURE:STAR:SHILO.SKILS5:BODY:SHILO-NAYES:1:,SHILO-NAYES,SHILO,NAYES,SHILO,NAYES,matches_operational_endpoints
PROCEDURE:STAR:SHREK.SHREK2,STAR,PROC_PATH:PROCEDURE:STAR:SHREK.SHREK2:BODY:SHREK-STNKY:1:,SHREK-STNKY,SHREK,STNKY,SHREK,STNKY,matches_operational_endpoints
PROCEDURE:STAR:SIE.CAMRN5,STAR,PROC_PATH:PROCEDURE:STAR:SIE.CAMRN5:BODY:SIE-CAMRN:1:,SIE-CAMRN,SIE,CAMRN,SIE,CAMRN,matches_operational_endpoints
PROCEDURE:STAR:SILCN.SILCN6,STAR,PROC_PATH:PROCEDURE:STAR:SILCN.SILCN6:BODY:SILCN-HITIR:1:,SILCN-HITIR,SILCN,HITIR,SILCN,HITIR,matches_operational_endpoints
PROCEDURE:STAR:SILCN.SILCN6,STAR,PROC_PATH:PROCEDURE:STAR:SILCN.SILCN6:BODY:SILCN-KLIDE:1:,SILCN-KLIDE,SILCN,KLIDE,SILCN,KLIDE,matches_operational_endpoints
PROCEDURE:STAR:SITTH.SITTH3,STAR,PROC_PATH:PROCEDURE:STAR:SITTH.SITTH3:BODY:SITTH-SNEVE:1:,SITTH-SNEVE,SITTH,SNEVE,SITTH,SNEVE,matches_operational_endpoints
PROCEDURE:STAR:SITTH.SITTH3,STAR,PROC_PATH:PROCEDURE:STAR:SITTH.SITTH3:BODY:SITTH-STUMP:1:,SITTH-STUMP,SITTH,STUMP,SITTH,STUMP,matches_operational_endpoints
PROCEDURE:STAR:SIZLR.SIZLR4,STAR,PROC_PATH:PROCEDURE:STAR:SIZLR.SIZLR4:BODY:SIZLR-FERNN:1:,SIZLR-FERNN,SIZLR,FERNN,SIZLR,FERNN,matches_operational_endpoints
PROCEDURE:STAR:SKYKO.SKYKO1,STAR,PROC_PATH:PROCEDURE:STAR:SKYKO.SKYKO1:BODY:SKYKO-HETHR:1:,SKYKO-HETHR,SKYKO,HETHR,SKYKO,HETHR,matches_operational_endpoints
PROCEDURE:STAR:SLMMR.SLMMR5,STAR,PROC_PATH:PROCEDURE:STAR:SLMMR.SLMMR5:BODY:SLMMR-BANZA:1:,SLMMR-BANZA,SLMMR,BANZA,SLMMR,BANZA,matches_operational_endpoints
PROCEDURE:STAR:SLMMR.SLMMR5,STAR,PROC_PATH:PROCEDURE:STAR:SLMMR.SLMMR5:BODY:SLMMR-TENCO:1:,SLMMR-TENCO,SLMMR,TENCO,SLMMR,TENCO,matches_operational_endpoints
PROCEDURE:STAR:SLOAO.SLOAO1,STAR,PROC_PATH:PROCEDURE:STAR:SLOAO.SLOAO1:BODY:SLOAO-DORMS:1:,SLOAO-DORMS,SLOAO,DORMS,SLOAO,DORMS,matches_operational_endpoints
PROCEDURE:STAR:SLOAO.SLOAO1,STAR,PROC_PATH:PROCEDURE:STAR:SLOAO.SLOAO1:BODY:SLOAO-ODDEL:1:,SLOAO-ODDEL,SLOAO,ODDEL,SLOAO,ODDEL,matches_operational_endpoints
PROCEDURE:STAR:SLUGG.LIKES4,STAR,PROC_PATH:PROCEDURE:STAR:SLUGG.LIKES4:BODY:SLUGG-LIKES:1:,SLUGG-LIKES,SLUGG,LIKES,SLUGG,LIKES,matches_operational_endpoints
PROCEDURE:STAR:SLVER.SLVER1,STAR,PROC_PATH:PROCEDURE:STAR:SLVER.SLVER1:BODY:SLVER-DERDF:1:,SLVER-DERDF,SLVER,DERDF,SLVER,DERDF,matches_operational_endpoints
