airwayKey,airwayPathKey,fromOccurrenceKey,toOccurrenceKey,fromPointKey,toPointKey,fromPointSeq,toPointSeq,magCourse,oppositeMagCourse,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,gapFlag,signalGapFlag,dogleg,forwardEndpointResolved,reverseDirectionEvidence,reverseEvidenceStatus,sourceTable,sourceRowId
AIRWAY:A332,AIRWAY_PATH:A332:C,AWY_OCC:A332:C:30,AWY_OCC:A332:C:40,POINT:FIX:HELOP:P,POINT:FIX:HEKAB:P,30,40,38.36,221.47,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,53
AIRWAY:A332,AIRWAY_PATH:A332:C,AWY_OCC:A332:C:40,AWY_OCC:A332:C:50,POINT:FIX:HEKAB:P,POINT:FIX:HEMLO:P,40,50,41.42,226.3,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,54
AIRWAY:A337,AIRWAY_PATH:A337:C,AWY_OCC:A337:C:10,AWY_OCC:A337:C:20,POINT:FIX:JUNIE:PG,POINT:FIX:AXIDE:P,10,20,352.09,172.35,6000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,56
AIRWAY:A337,AIRWAY_PATH:A337:C,AWY_OCC:A337:C:20,AWY_OCC:A337:C:30,POINT:FIX:AXIDE:P,POINT:FIX:FONUG:P,20,30,352.33,172.8,6000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,57
AIRWAY:A337,AIRWAY_PATH:A337:C,AWY_OCC:A337:C:30,AWY_OCC:A337:C:40,POINT:FIX:FONUG:P,POINT:FIX:SNAPP:PG,30,40,352.79,173.29,6000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,58
AIRWAY:A337,AIRWAY_PATH:A337:C,AWY_OCC:A337:C:40,AWY_OCC:A337:C:50,POINT:FIX:SNAPP:PG,POINT:FIX:TEEDE:P,40,50,356.79,177.25,6000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,59
AIRWAY:A337,AIRWAY_PATH:A337:C,AWY_OCC:A337:C:50,AWY_OCC:A337:C:60,POINT:FIX:TEEDE:P,POINT:FIX:TEGOD:P,50,60,341.23,162.29,6000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,60
AIRWAY:A339,AIRWAY_PATH:A339:C,AWY_OCC:A339:C:10,AWY_OCC:A339:C:20,POINT:FIX:SHREE:P,POINT:FIX:WRNNR:P,10,20,13.94,195.15,15000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,62
AIRWAY:A339,AIRWAY_PATH:A339:C,AWY_OCC:A339:C:20,AWY_OCC:A339:C:30,POINT:FIX:WRNNR:P,POINT:FIX:TILLY:P,20,30,15.11,196.79,15000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,63
AIRWAY:A339,AIRWAY_PATH:A339:C,AWY_OCC:A339:C:30,AWY_OCC:A339:C:40,POINT:FIX:TILLY:P,POINT:FIX:KEITH:P,30,40,16.79,198.05,15000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,64
