"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC"
"2026/05/14","ALWOOD NDB*NC",1,"NC","US","IAP"
"2026/05/14","ALWYS WP*CA*K2",1,"CA","US","STAR"
"2026/05/14","ALWYZ INT*VA*K6",1,"VA","US","STAR"
"2026/05/14","ALWYZ WP*VA*K6",2,"VA","US","STAR"
"2026/05/14","AMABE WP*IA*K3",1,"IA","US","IAP"
"2026/05/14","AMAKE WP*NC*K7",1,"NC","US","SPECIAL IAP"
"2026/05/14","AMAKR WP*CA*K2",1,"CA","US","IAP"
"2026/05/14","AMAKR WP*CA*K2",2,"CA","US","STAR"
"2026/05/14","AMAPE WP*TX*K4",1,"TX","US","IAP"
"2026/05/14","AMAVE WP*OR*K1",1,"OR","US","IAP"
"2026/05/14","AMAXE INT*ND*K3",1,"ND","US","MILITARY IAP"
"2026/05/14","AMAZON NDB*MO",1,"MO","US","IAP"
"2026/05/14","AMAZON NDB*MO",1,"MO","US","MILITARY IAP"
"2026/05/14","AMBASSADOR NDB*TX",1,"TX","US","IAP"
"2026/05/14","AMBEY INT*SC*K7",1,"SC","US","IAP"
"2026/05/14","AMBRY WP*VA*K6",1,"VA","US","SPECIAL IAP"
"2026/05/14","AMDUY INT*AZ*K2",1,"AZ","US","MILITARY IAP"
"2026/05/14","AMEBY WP*CA*K2",1,"CA","US","IAP"
"2026/05/14","AMEDEE VOR/DME*CA",1,"CA","US","SID"
"2026/05/14","AMEDEE VOR/DME*CA",2,"CA","US","IAP"
"2026/05/14","AMERY WP*HI*PH",1,"HI","US","IAP"
"2026/05/14","AMFIB INT*CA*K2",2,"CA","US","MILITARY IAP"
"2026/05/14","AMFIB INT*CA*K2",3,"CA","US","MILITARY IAP"
"2026/05/14","AMFIB WP*CA*K2",1,"CA","US","MILITARY IAP"
"2026/05/14","AMIDY WP*NJ*K6",1,"NJ","US","IAP"
"2026/05/14","AMIFA WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AMILY WP*MN*K3",1,"MN","US","IAP"
"2026/05/14","AMIRE INT*ND*K3",1,"ND","US","MILITARY IAP"
"2026/05/14","AMIVY WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AMMMO WP*TX*K4",1,"TX","US","STAR"
"2026/05/14","AMNIA WP*AK*PA",1,"AK","US","IAP"
"2026/05/14","AMNIO WP*OH*K5",1,"OH","US","IAP"
"2026/05/14","AMOHO WP*CO*K2",1,"CO","US","IAP"
"2026/05/14","AMORE INT*NY*K6",1,"NY","US","IAP"
"2026/05/14","AMOSS INT*VA*K6",2,"VA","US","IAP"
"2026/05/14","AMOSS WP*VA*K6",1,"VA","US","IAP"
"2026/05/14","AMOTT INT*AK*PA",1,"AK","US","STAR"
"2026/05/14","AMOTT WP*AK*PA",2,"AK","US","SPECIAL IAP"
"2026/05/14","AMPEY WP*MI*K5",1,"MI","US","IAP"
"2026/05/14","AMPLE INT*WA*K1",1,"WA","US","NOT REQUIRED"
