"EFF_DATE","FACILITY_ID","FACILITY_TYPE","STATE_CODE","COUNTRY_CODE","RADAR_TYPE","RADAR_NO","RADAR_HRS","REMARK"
"2026/05/14","MYR","AIRPORT","SC","US","ASR",1,"0600-2300.",""
"2026/05/14","N90","TRACON","NY","US","ASR",1,"24",""
"2026/05/14","N90","TRACON","NY","US","ASR",2,"24",""
"2026/05/14","N90","TRACON","NY","US","ASR",3,"24",""
"2026/05/14","N90","TRACON","NY","US","ASR",4,"24",""
"2026/05/14","N90","TRACON","NY","US","ASR",5,"24",""
"2026/05/14","NBC","AIRPORT","SC","US","PAR",2,"0700-2300 LCL",""
"2026/05/14","NBC","AIRPORT","SC","US","ASR",3,"0700-2300 LCL",""
"2026/05/14","NBG","AIRPORT","LA","US","ASR",1,"MON-FRI 0700-2300.  SAT-SUN 0900-1700.",""
"2026/05/14","NBG","AIRPORT","LA","US","PAR",2,"MON-FRI 0700-2300.  SAT-SUN 0900-1700.",""
"2026/05/14","NCA","AIRPORT","NC","US","ASR",3,"24",""
"2026/05/14","NCA","AIRPORT","NC","US","PAR",4,"24",""
"2026/05/14","NCT","TRACON","CA","US","ARSR",1,"24",""
"2026/05/14","NCT","TRACON","CA","US","ARSR",2,"24",""
"2026/05/14","NCT","TRACON","CA","US","ARSR",3,"24",""
"2026/05/14","NCT","TRACON","CA","US","ASR",4,"24",""
"2026/05/14","NDZ","AIRPORT","FL","US","ASR",1,"SAME AS ARPT OPS HRS.",""
"2026/05/14","NDZ","AIRPORT","FL","US","PAR",2,"SAME AS ARPT OPS HRS.",""
"2026/05/14","NFG","AIRPORT","CA","US","ASR",1,"1600-0800Z MON-THU, 1600-0100Z++ FRI; CLSD SAT, SUN AND HOL.","(RADAR_TYPE) ILS/RADAR - RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA."
"2026/05/14","NFG","AIRPORT","CA","US","PAR",2,"1600-2000Z++ AND 0000-0100Z++ MON, 1600-0100Z++  FRI,  1600-0800Z++ TUE-THU; CLSD SAT, SUN AND HOL.",""
"2026/05/14","NFL","AIRPORT","NV","US","ASR",2,"SAME AS ARPT HRS.",""
"2026/05/14","NFL","AIRPORT","NV","US","PAR",3,"SAME AS ARPT HRS.  RADAR - SEE TRML FLIP FOR RADAR MINIMA.",""
