fromKey,toKey,magCourse,oppositeMagCourse,distanceNm,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,minObstacleClearanceAltFt,minCrossingAltFt,minReceptionAltFt,maxAuthorizedAltFt,requiredNavPerformance,gapFlag,signalGapFlag,dogleg,artcc,stateCode,countryCode,icaoRegionCode,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A555:C:130,AWY_OCC:A555:C:140,310.68,130.49,32,2000,,,,,,60000,,N,N,N,,,TC,,2026-05-14,AWY_SEG_ALT,120
AWY_OCC:A555:C:140,AWY_OCC:A555:C:150,310.49,130.31,32.27,2000,,,,,,60000,,N,N,N,ZMA,,IB,K7,2026-05-14,AWY_SEG_ALT,121
AWY_OCC:A555:C:150,AWY_OCC:A555:C:160,310.31,130.27,6.29,2000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,122
AWY_OCC:A555:C:160,AWY_OCC:A555:C:170,310.27,130.19,13.49,2000,,,,,,60000,,N,N,N,ZMA,,IB,K7,2026-05-14,AWY_SEG_ALT,123
AWY_OCC:A555:C:170,AWY_OCC:A555:C:180,308.41,128.32,14.01,2000,,,,,,60000,,N,N,N,ZMA,,TC,K7,2026-05-14,AWY_SEG_ALT,124
AWY_OCC:A555:C:180,AWY_OCC:A555:C:190,310.75,130.63,20.27,2000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,125
AWY_OCC:A555:C:190,AWY_OCC:A555:C:200,310.53,129.36,89.35,2000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,126
AWY_OCC:A555:C:200,AWY_OCC:A555:C:210,309.07,128.31,55,2000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,127
AWY_OCC:A555:C:210,AWY_OCC:A555:C:220,316.14,135.54,47,3000,,,,,,60000,,N,N,N,ZMA,,BS,K7,2026-05-14,AWY_SEG_ALT,128
AWY_OCC:A555:C:220,AWY_OCC:A555:C:230,312.01,131.88,22.29,3000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,129
