nodeKey,NAV_ID,NAV_TYPE,NAV_STATUS,NAME,CITY,STATE_CODE,COUNTRY_CODE,REGION_CODE,LAT_DECIMAL,LONG_DECIMAL,FREQ,OPER_HOURS,NAS_USE_FLAG,PUBLIC_USE_FLAG
NAVAID:COU:VOR/DME,COU,VOR/DME,OPERATIONAL RESTRICTED,COLUMBIA,COLUMBIA,MO,US,ACE,38.81082333,-92.21827388,110.2,24,Y,Y
NAVAID:CQY:VORTAC,CQY,VORTAC,OPERATIONAL IFR,CEDAR CREEK,CEDAR CREEK,TX,US,ASW,32.18572222,-96.21810277,114.8,24,Y,Y
NAVAID:CRE:VORTAC,CRE,VORTAC,OPERATIONAL RESTRICTED,GRAND STRAND,NORTH MYRTLE BEACH,SC,US,ASO,33.81384094,-78.72452211,114.4,24,Y,Y
NAVAID:CRG:VORTAC,CRG,VORTAC,OPERATIONAL IFR,CRAIG,JACKSONVILLE,FL,US,ASO,30.33887919,-81.50992733,114.5,24,Y,Y
NAVAID:CRL:VOR/DME,CRL,VOR/DME,OPERATIONAL RESTRICTED,CARLETON,CARLETON,MI,US,AGL,42.04802655,-83.45757291,115.7,24,Y,Y
NAVAID:CRP:VORTAC,CRP,VORTAC,OPERATIONAL RESTRICTED,CORPUS CHRISTI,CORPUS CHRISTI,TX,US,ASW,27.90376591,-97.44488133,115.5,24,Y,Y
NAVAID:CSN:VORTAC,CSN,VORTAC,OPERATIONAL RESTRICTED,CASANOVA,CASANOVA,VA,US,AEA,38.64120213,-77.86549941,116.3,24,Y,Y
NAVAID:CTF:VOR/DME,CTF,VOR/DME,OPERATIONAL RESTRICTED,CHESTERFIELD,CHESTERFIELD,SC,US,ASO,34.65049805,-80.27491636,114.55,24,Y,Y
NAVAID:CTR:VOR/DME,CTR,VOR/DME,OPERATIONAL RESTRICTED,CHESTER,CHESTER,MA,US,ANE,42.29131861,-72.94939416,115.1,24,Y,Y
NAVAID:CTW:DME,CTW,DME,OPERATIONAL RESTRICTED,NEWCOMERSTOWN,NEWCOMERSTOWN,OH,US,AGL,40.22920861,-81.47647666,111.8,24,Y,Y
NAVAID:CVE:VOR/DME,CVE,VOR/DME,OPERATIONAL RESTRICTED,COWBOY,DALLAS,TX,US,ASW,32.89031033,-96.90396691,116.2,24,Y,Y
NAVAID:CYN:VORTAC,CYN,VORTAC,OPERATIONAL RESTRICTED,COYLE,COYLE,NJ,US,AEA,39.81733791,-74.43162572,113.4,24,Y,Y
NAVAID:CYS:VORTAC,CYS,VORTAC,OPERATIONAL RESTRICTED,CHEYENNE,CHEYENNE,WY,US,ANM,41.21096702,-104.77291497,113.1,24,Y,Y
NAVAID:CZI:VOR/DME,CZI,VOR/DME,OPERATIONAL RESTRICTED,CRAZY WOMAN,CRAZY WOMAN,WY,US,ANM,43.99972777,-106.43573055,117.3,24,Y,Y
NAVAID:DAS:VORTAC,DAS,VORTAC,OPERATIONAL RESTRICTED,DAISETTA,DAISETTA,TX,US,ASW,30.18971172,-94.64498444,116.9,24,Y,Y
NAVAID:DBN:VORTAC,DBN,VORTAC,OPERATIONAL RESTRICTED,DUBLIN,DUBLIN,GA,US,ASO,32.56346013,-82.83004477,113.1,24,Y,Y
NAVAID:DBQ:VORTAC,DBQ,VORTAC,OPERATIONAL RESTRICTED,DUBUQUE,DUBUQUE,IA,US,ACE,42.40146908,-90.709078,115.8,24,Y,Y
NAVAID:DDY:VOR/DME,DDY,VOR/DME,OPERATIONAL RESTRICTED,MUDDY MOUNTAIN,CASPER,WY,US,ANM,43.09085638,-106.27702444,116.2,24,Y,Y
NAVAID:DGD:VORTAC,DGD,VORTAC,OPERATIONAL RESTRICTED,DOGWOOD,DOGWOOD,MO,US,ACE,37.02346916,-92.87692277,109.4,24,Y,Y
NAVAID:DJB:VOR/DME,DJB,VOR/DME,OPERATIONAL RESTRICTED,DRYER,CLEVELAND,OH,US,AGL,41.35806497,-82.16196869,113.6,24,Y,Y
NAVAID:DKK:DME,DKK,DME,OPERATIONAL RESTRICTED,DUNKIRK,DUNKIRK,NY,US,AEA,42.4904,-79.27410277,116.2,24,Y,Y
NAVAID:DLL:VORTAC,DLL,VORTAC,OPERATIONAL RESTRICTED,DELLS,BARABOO,WI,US,AGL,43.55083561,-89.76362247,117,24,Y,Y
NAVAID:DNY:VOR/DME,DNY,VOR/DME,OPERATIONAL IFR,DELANCEY,DELANCEY,NY,US,AEA,42.17828055,-74.95694055,112.1,24,Y,Y
NAVAID:DOV:TACAN,DOV,TACAN,OPERATIONAL IFR,DOVER,DOVER,DE,US,AEA,39.1324,-75.46740833,110,24,Y,Y
NAVAID:DPK:VOR/DME,DPK,VOR/DME,OPERATIONAL RESTRICTED,DEER PARK,DEER PARK,NY,US,AEA,40.79176669,-73.30367738,117.7,24,Y,Y
NAVAID:DPR:VOR/DME,DPR,VOR/DME,OPERATIONAL IFR,DUPREE,DUPREE,SD,US,AGL,45.07817527,-101.71507138,116.8,24,Y,Y
NAVAID:DQO:VORTAC,DQO,VORTAC,OPERATIONAL RESTRICTED,DUPONT,WILMINGTON,DE,US,AEA,39.67814013,-75.60708558,114,24,Y,Y
NAVAID:DRK:VORTAC,DRK,VORTAC,OPERATIONAL RESTRICTED,DRAKE,PRESCOTT,AZ,US,AWP,34.70255225,-112.48034163,114.1,24,Y,Y
NAVAID:DSM:VORTAC,DSM,VORTAC,OPERATIONAL RESTRICTED,DES MOINES,DES MOINES,IA,US,ACE,41.4376248,-93.64855794,117.5,24,Y,Y
NAVAID:DTA:VORTAC,DTA,VORTAC,OPERATIONAL RESTRICTED,DELTA,DELTA,UT,US,ANM,39.30226216,-112.50555938,116.1,24,Y,Y
NAVAID:DVC:VORTAC,DVC,VORTAC,OPERATIONAL RESTRICTED,DOVE CREEK,DOVE CREEK,CO,US,ANM,37.80873972,-108.93127388,114.6,24,Y,Y
NAVAID:DVV:VORTAC,DVV,VORTAC,OPERATIONAL RESTRICTED,MILE HIGH,DENVER,CO,US,ANM,39.89468941,-104.624335,114.7,24,Y,Y
NAVAID:EED:VORTAC,EED,VORTAC,OPERATIONAL RESTRICTED,NEEDLES,NEEDLES,CA,US,AWP,34.76600416,-114.47410416,115.2,24,Y,Y
NAVAID:EKN:VORTAC,EKN,VORTAC,OPERATIONAL IFR,ELKINS,ELKINS,WV,US,AEA,38.91443583,-80.0992725,114.2,24,Y,Y
NAVAID:EKR:VOR/DME,EKR,VOR/DME,OPERATIONAL RESTRICTED,MEEKER,MEEKER,CO,US,ANM,40.06744188,-107.92494958,115.2,24,Y,Y
NAVAID:ELD:VOR/DME,ELD,VOR/DME,OPERATIONAL RESTRICTED,EL DORADO,EL DORADO,AR,US,ASW,33.2561538,-92.74394775,115.5,24,Y,Y
NAVAID:ELN:VOR/DME,ELN,VOR/DME,OPERATIONAL RESTRICTED,ELLENSBURG,ELLENSBURG,WA,US,ANM,47.02437419,-120.45841355,117.9,24,Y,Y
NAVAID:ELP:VORTAC,ELP,VORTAC,OPERATIONAL RESTRICTED,EL PASO,EL PASO,TX,US,ASW,31.81591027,-106.28188283,115.2,24,Y,Y
NAVAID:EMI:VORTAC,EMI,VORTAC,OPERATIONAL RESTRICTED,WESTMINSTER,WESTMINSTER,MD,US,AEA,39.49500738,-76.97857197,117.9,24,Y,Y
NAVAID:ENE:VOR/DME,ENE,VOR/DME,OPERATIONAL RESTRICTED,KENNEBUNK,KENNEBUNK,ME,US,ANE,43.42567213,-70.61352547,117.1,24,Y,Y
NAVAID:ENL:VORTAC,ENL,VORTAC,OPERATIONAL RESTRICTED,CENTRALIA,CENTRALIA,IL,US,AGL,38.41999869,-89.1589978,115,24,Y,Y
NAVAID:ENO:VORTAC,ENO,VORTAC,OPERATIONAL RESTRICTED,SMYRNA,KENTON,DE,US,AEA,39.23164669,-75.51596994,111.4,24,Y,Y
NAVAID:EOS:DME,EOS,DME,OPERATIONAL IFR,NEOSHO,NEOSHO,MO,US,ACE,36.84244841,-94.4357008,117.3,24,Y,Y
NAVAID:ERI:TACAN,ERI,TACAN,OPERATIONAL RESTRICTED,ERIE,ERIE,PA,US,AEA,42.01739691,-80.29269816,109.4,24,Y,Y
NAVAID:ESL:VOR/DME,ESL,VOR/DME,OPERATIONAL RESTRICTED,KESSEL,KESSEL,WV,US,AEA,39.22549277,-78.9895,110.8,24,Y,Y
NAVAID:ETG:VORTAC,ETG,VORTAC,OPERATIONAL IFR,KEATING,KEATING,PA,US,AEA,41.21494972,-78.14275638,116,24,Y,Y
NAVAID:ETX:VOR/DME,ETX,VOR/DME,OPERATIONAL RESTRICTED,EAST TEXAS,EAST TEXAS,PA,US,AEA,40.58103902,-75.68403013,110.2,24,Y,Y
NAVAID:EUF:VOR/DME,EUF,VOR/DME,OPERATIONAL RESTRICTED,EUFAULA,EUFAULA,AL,US,ASO,31.95025077,-85.1304795,109.2,24,Y,Y
NAVAID:EUG:VORTAC,EUG,VORTAC,OPERATIONAL RESTRICTED,EUGENE,EUGENE,OR,US,ANM,44.12089841,-123.22283125,112.9,24,Y,Y
NAVAID:EWC:VOR/DME,EWC,VOR/DME,OPERATIONAL RESTRICTED,ELLWOOD CITY,ELLWOOD CITY,PA,US,AEA,40.82493266,-80.21154555,115.8,24,Y,Y
NAVAID:EWM:VORTAC,EWM,VORTAC,OPERATIONAL RESTRICTED,NEWMAN,NEWMAN,TX,US,ASW,31.95178611,-106.27245833,112.4,24,Y,Y
NAVAID:FAM:VORTAC,FAM,VORTAC,OPERATIONAL RESTRICTED,FARMINGTON,FARMINGTON,MO,US,ACE,37.67346288,-90.23406127,115.7,24,Y,Y
