routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,ROUTE_STRING,semanticStatus,searchProjectionStatus
ACK:ORD:H:1,ACK,ORD,H,1,,,,,,LFV CELTS MANCH CAM Q822 FNT WYNDE3,valid_semantic_route,projected
ACK:ORH:TEC:2,ACK,ORH,TEC,2,10000,,,,,ACK V146 PUT,valid_semantic_route,projected
ACK:OWD:TEC:1,ACK,OWD,TEC,1,10000,,,,,ACK FREDO,valid_semantic_route,projected
ACK:PBI:H:1,ACK,PBI,H,1,,,,,,MVY JAWZZ Q220 RIFLE HEADI Q97 KENLL CPTAN3,valid_semantic_route,projected
ACK:PBI:H:2,ACK,PBI,H,2,,JETS ONLY,,WATER,,MVY JAWZZ Q220 RIFLE HEADI Q97 KALDA Q131 WAALT Y289 DULEE CLMNT2,valid_semantic_route,projected
ACK:PHL:H:3,ACK,PHL,H,3,,,,,,MVY JAWZZ Q220 RIFLE Q439 BRIGS JIIMS4,valid_semantic_route,projected
ACK:PHL:H:4,ACK,PHL,H,4,,TURBOJETS ONLY,,,,MVY JAWZZ Q220 RIFLE Q439 BRIGS JIIMS4,valid_semantic_route,projected
ACK:PHL:TEC:1,ACK,PHL,TEC,1,10000,,,,,ACK T216 SEY ORCHA T320 BRIGS ACY V184 OOD,valid_semantic_route,projected
ACK:PHL:TEC:2,ACK,PHL,TEC,2,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 JIIMS OOD,valid_semantic_route,projected
ACK:PNE:TEC:1,ACK,PNE,TEC,1,10000,,,,,ACK T216 SEY ORCHA T320 MANTA T438 ARD,valid_semantic_route,projected
ACK:PNE:TEC:2,ACK,PNE,TEC,2,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 DIXIE T438 ARD,valid_semantic_route,projected
ACK:PSM:TEC:1,ACK,PSM,TEC,1,10000,,,,,FREDO BOS PEASE,valid_semantic_route,projected
ACK:PVD:TEC:1,ACK,PVD,TEC,1,10000,,,,,ACK V146 PVD,valid_semantic_route,projected
ACK:PWM:TEC:1,ACK,PWM,TEC,1,10000,,,,,FREDO BOS PEASE ENE,valid_semantic_route,projected
ACK:RIC:TEC:1,ACK,RIC,TEC,1,10000,,,,,ACK T216 SEY ORCHA T320 CHOPS T224 COLIN,valid_semantic_route,projected
ACK:RIC:TEC:2,ACK,RIC,TEC,2,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 COLIN,valid_semantic_route,projected
ACK:SWF:TEC:1,ACK,SWF,TEC,1,10000,GNSS EQUIPPED ONLY,,,,ACK V146 PVD T255 NELIE T212 TRESA,valid_semantic_route,projected
ACK:SYR:TEC:1,ACK,SYR,TEC,1,10000,,,,,ACK V146 ALB,valid_semantic_route,projected
ACK:TEB:H:1,ACK,TEB,H,1,AOB FL220,,,,,MVY V146 BAF MOBBS T295 SAGES V489 COATE,valid_semantic_route,projected
ACK:TTN:TEC:1,ACK,TTN,TEC,1,10000,,,,,ACK T216 SEY ORCHA T320 MANTA T438 ARD,valid_semantic_route,projected
ACK:TTN:TEC:2,ACK,TTN,TEC,2,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 DIXIE T438 ARD,valid_semantic_route,projected
ACK:WRI:TEC:1,ACK,WRI,TEC,1,10000,,,,,ACK T216 SEY ORCHA T320 DRIFT T416 CYN,valid_semantic_route,projected
ACK:WRI:TEC:2,ACK,WRI,TEC,2,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC T224 CYN,valid_semantic_route,projected
ACY:ABE:TEC:1,ACY,ABE,TEC,1,5000,,,,,ACY T315 DIXIE T438 ARD,valid_semantic_route,projected
ACY:ABE:TEC:2,ACY,ABE,TEC,2,5000,,,,,CRESI T303 DIXIE T438 ARD,valid_semantic_route,projected
ACY:ACK:TEC:1,ACY,ACK,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON T216 NEWBE T300 DEEPO,valid_semantic_route,projected
ACY:ADW:TEC:1,ACY,ADW,TEC,1,040 OR 060,,,,,LEEAH T315 CHOPS T320 VAALI CAPKO,valid_semantic_route,projected
ACY:ATL:H:1,ACY,ATL,H,1,,,,,,LEEAH T358 OBWON T356 DROSA CSN J48 MOL FLASK OZZZI2,valid_semantic_route,projected
ACY:BDL:TEC:1,ACY,BDL,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 EEGOR,valid_semantic_route,projected
ACY:BDR:TEC:1,ACY,BDR,TEC,1,5000,SINGLE ENGINE ONLY,,,,HOWIE T303 JFK T315 EEGOR,valid_semantic_route,projected
ACY:BDR:TEC:2,ACY,BDR,TEC,2,5000,TWINS ONLY,N/A 1400-2100,,,ACY V184 ZIGGI JFK T315 EEGOR,valid_semantic_route,projected
ACY:BGR:TEC:1,ACY,BGR,TEC,1,5000,"SINGLE ENGINE AND /E, /F, /G ONLY",,,,CRESI T303 JFK T315 HFD CLOWW,valid_semantic_route,projected
ACY:BHB:TEC:1,ACY,BHB,TEC,1,5000,"SINGLE ENGINE AND /E, /F, /G ONLY",,,,CRESI T303 JFK T315 HFD CLOWW,valid_semantic_route,projected
ACY:BOS:TEC:1,ACY,BOS,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 HFD DREEM,valid_semantic_route,projected
ACY:BOS:TEC:2,ACY,BOS,TEC,2,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 HFD V3 WOONS,valid_semantic_route,projected
ACY:BOS:TEC:3,ACY,BOS,TEC,3,5000,"SINGLE ENGINE AND /E, /F, /G ONLY",,,,CRESI T303 JFK T315 HFD FOSTY WOONS,valid_semantic_route,projected
ACY:BWI:TEC:1,ACY,BWI,TEC,1,040 OR 060,,,,,LEEAH T358 SWANN,valid_semantic_route,projected
ACY:CXY:TEC:1,ACY,CXY,TEC,1,4000,,,,,BRIEF T307 REESY T452 HAR,valid_semantic_route,projected
ACY:DCA:TEC:1,ACY,DCA,TEC,1,040 OR 060,PROPS ONLY,,,,LEEAH T315 CHOPS T320 VAALI CAPKO,valid_semantic_route,projected
ACY:ELM:TEC:1,ACY,ELM,TEC,1,4000,,,,,LEEAH T358 ENO T447 ETX T335 WLKES T440 STUBN,valid_semantic_route,projected
ACY:EWB:TEC:1,ACY,EWB,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON V374 MINNK,valid_semantic_route,projected
ACY:EWR:TEC:3,ACY,EWR,TEC,3,5000,,,,,ACY T315 DIXIE T438 RBV V249 METRO,valid_semantic_route,projected
ACY:FLL:H:1,ACY,FLL,H,1,,"JETS ONLY, EXCLUDES EA50, E50P, SF50, C510, C525",,,,LEEAH ATR TRPOD Q409 CRPLR PAACK Q97 PRMUS CUUDA3,valid_semantic_route,projected
ACY:FLL:H:2,ACY,FLL,H,2,,"JETS ONLY, EXCLUDES EA50, ES0P, SF50, CS10, CS25",,WATER,,LEEAH ATR TRPOD Q409 CRPLR KOOKI Q161 CHIEZ Y291 MAJIK CUUDA3,valid_semantic_route,projected
ACY:FLL:H:3,ACY,FLL,H,3,,"VLJ/TURBPROP ONLY: INCL EA50,E50P,SF50,C510,C525",,,,LEEAH ATR TRPOD Q409 CRPLR PAACK Q97 KENLL TARPN3,valid_semantic_route,projected
ACY:GON:TEC:1,ACY,GON,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK BDR MAD MONDI,valid_semantic_route,projected
ACY:HFD:TEC:1,ACY,HFD,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 HFD,valid_semantic_route,projected
ACY:HPN:TEC:1,ACY,HPN,TEC,1,5000,MULTIENGINE PROPS ONLY,,,,CRESI T303 DIXIE T438 RBV V249 SAX V39 BREZY,valid_semantic_route,projected
ACY:HPN:TEC:2,ACY,HPN,TEC,2,5000,MULTIENGINE PROPS ONLY,,,,ACY T315 DIXIE T438 RBV V249 SAX V39 BREZY,valid_semantic_route,projected
ACY:HYA:TEC:1,ACY,HYA,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 HFD V167 PVD T393 GAILS,valid_semantic_route,projected
ACY:IAD:TEC:1,ACY,IAD,TEC,1,4000,NON-JETS ONLY,,,,LEEAH T358 OBWON T356 DROSA WOOLY MRB,valid_semantic_route,projected
ACY:IAD:TEC:2,ACY,IAD,TEC,2,4000,JETS ONLY,,,,LEEAH T315 TAPPA BRV V286 CSN,valid_semantic_route,projected
ACY:ISP:TEC:1,ACY,ISP,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK CCC,valid_semantic_route,projected
ACY:ISP:TEC:2,ACY,ISP,TEC,2,5000,NO SINGLE ENGINE,,,,BRIGS T320 SARDI CCC,valid_semantic_route,projected
ACY:JFK:TEC:1,ACY,JFK,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK,valid_semantic_route,projected
ACY:JFK:TEC:2,ACY,JFK,TEC,2,5000,JETS AND MULTIENGINE PROPS ONLY,,,,ACY V184 ZIGGI,valid_semantic_route,projected
ACY:LGA:TEC:1,ACY,LGA,TEC,1,5000,,,,,CRESI T303 DIXIE T438 RBV V123 PROUD,valid_semantic_route,projected
ACY:LGA:TEC:2,ACY,LGA,TEC,2,5000,NO SINGLE ENGINE,,,,ACY T315 DIXIE T438 RBV V123 PROUD,valid_semantic_route,projected
ACY:LGA:TEC:3,ACY,LGA,TEC,3,7000,JETS ONLY,,,,ACY T315 DIXIE T438 RBV V123 PROUD,valid_semantic_route,projected
ACY:LNS:TEC:1,ACY,LNS,TEC,1,4000,,,,,ACY V184 OOD DQO PADRE LRP,valid_semantic_route,projected
ACY:MCO:H:1,ACY,MCO,H,1,,JETS: RNAV 1  - DME/DME/IRU OR GPS REQUIRED,,MCO LANDING NORTH,,LEEAH ATR TRPOD Q409 CRPLR Q85 LPERD SNFLD3,valid_semantic_route,projected
ACY:MCO:H:2,ACY,MCO,H,2,,"JETS, TURBOPROPS:  RNAV 1-DME/DME/IRU OR GPS",,WATER,,LEEAH ATR TRPOD Q409 CRPLR EARZZ Q131 WAALT Y289 BAHAA HIBAC ALYNA4,valid_semantic_route,projected
ACY:MCO:H:3,ACY,MCO,H,3,,JETS: RNAV 1  - DME/DME/IRU OR GPS REQUIRED,,MCO LANDING SOUTH,,LEEAH ATR TRPOD Q409 CRPLR Q85 LPERD GTOUT1,valid_semantic_route,projected
