nodeKey,FIX_ID,ICAO_REGION_CODE,STATE_CODE,COUNTRY_CODE,LAT_DECIMAL,LONG_DECIMAL,FIX_USE_CODE,ARTCC_ID_HIGH,ARTCC_ID_LOW,COMPULSORY,CHARTS
FIX:CHURK,CHURK,K6,MD,US,38.48465,-76.21825,WP,,ZDC,,"CONTROLLER LOW,ENROUTE LOW"
FIX:CHVIS,CHVIS,K7,NC,US,35.36760833,-77.40140833,WP,ZDC,ZDC,,"CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW"
FIX:CIITY,CIITY,K2,CA,US,37.53311666,-122.14951111,WP,ZOA,ZOA,,SID
FIX:CJAAE,CJAAE,K6,WV,US,37.8638,-80.39202777,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
FIX:CLAMY,CLAMY,K6,MA,US,41.17777777,-70.53526944,RP,,ZBW,,"CONTROLLER LOW,ENROUTE LOW,IAP"
FIX:CLAWD,CLAWD,K7,NC,US,36.41916111,-81.14715277,WP,ZTL,ZTL,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:CLEEE,CLEEE,K2,CA,US,33.72338333,-116.07331111,WP,ZLA,ZLA,,"CONTROLLER HIGH,ENROUTE HIGH,SID"
FIX:CLEFF,CLEFF,K7,FL,US,27.00091944,-80.54396388,WP,ZMA,ZMA,,"CONTROLLER LOW,ENROUTE LOW,SECTIONAL,SID,STAR"
FIX:CLERI,CLERI,K5,OH,US,41.79225277,-81.02192777,WP,ZOB,ZOB,,"CONTROLLER LOW,ENROUTE LOW"
FIX:CLIPR,CLIPR,K6,MD,US,39.44810277,-76.42196944,RP,ZNY,ZNY,,"CONTROLLER LOW,ENROUTE LOW,STAR"
FIX:CLLEM,CLLEM,K5,MI,US,42.63335833,-85.073475,WP,ZAU,ZAU,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
FIX:CLOWW,CLOWW,K6,NH,US,42.73152777,-71.85458333,RP,ZBW,ZBW,,"CONTROLLER,ENROUTE LOW"
FIX:CLVIN,CLVIN,K5,OH,US,41.39321388,-83.55463333,WP,ZOB,ZOB,,"CONTROLLER LOW,ENROUTE LOW,SID"
FIX:CMSKY,CMSKY,K5,IL,US,41.41305555,-87.87722222,WP,ZAU,ZAU,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:CNERY,CNERY,K2,CA,US,33.61770833,-115.58242222,WP,ZLA,ZLA,,"CONTROLLER HIGH,ENROUTE HIGH,SID"
FIX:CNTLR,CNTLR,K7,GA,US,33.66837777,-83.58116111,WP,ZTL,ZTL,,"CONTROLLER HIGH,ENROUTE HIGH,STAR"
FIX:CNTRY,CNTRY,K5,KY,US,36.87332222,-85.21505555,WP,ZID,ZID,,SID
FIX:COATE,COATE,K6,NJ,US,41.13622777,-74.69516666,RP,ZNY,ZNY,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SID"
FIX:COBBE,COBBE,K6,WV,US,38.35886944,-80.530025,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW"
FIX:CODDI,CODDI,K6,NY,US,42.38115277,-75.00606666,RP,,ZBW,,"CONTROLLER LOW,ENROUTE LOW,SECTIONAL"
FIX:COLIN,COLIN,K6,VA,US,38.09978611,-76.664125,RP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,MILITARY SID,MILITARY STAR,SECTIONAL,SID,STAR"
FIX:COLLI,COLLI,K2,CA,US,37.86297777,-122.08351111,RP,ZOA,ZOA,,"ENROUTE LOW,IAP"
FIX:COLNS,COLNS,K6,WV,US,38.84041111,-79.19683611,RP,,ZDC,,"CONTROLLER HIGH,ENROUTE HIGH,STAR"
FIX:COLTS,COLTS,CY,,CA,42.96378055,-79.32085833,WP,ZYZ,ZYZ,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
FIX:COLZI,COLZI,K7,NC,US,36.22760833,-80.50876666,WP,ZTL,ZTL,,"CONTROLLER HIGH,ENROUTE HIGH"
FIX:CONFR,CONFR,K6,MD,US,38.26969444,-75.40916111,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
FIX:COPES,COPES,K6,PA,US,40.13071388,-75.37676944,RP,,ZNY,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
FIX:COPIN,COPIN,K7,FL,US,27.62115,-80.13584444,WP,ZMA,ZMA,,"CONTROLLER HIGH,ENROUTE HIGH,STAR"
FIX:CORDS,CORDS,K6,PA,US,41.56973333,-75.13986111,WP,ZNY,ZNY,,"CONTROLLER HIGH,ENROUTE HIGH"
FIX:COREA,COREA,K7,FL,US,26.63582222,-81.214525,WP,ZMA,ZMA,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
FIX:COREX,COREX,K7,NC,US,36.00322777,-81.44870833,RP,ZTL,ZTL,,"CONTROLLER LOW,ENROUTE LOW"
FIX:COREZ,COREZ,K2,CA,US,35.55666666,-119.48388333,RP,ZLA,ZLA,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SID"
FIX:CORKY,CORKY,K7,FL,US,30.82277777,-86.51206111,RP,ZJX,ZJX,,"CONTROLLER LOW,ENROUTE LOW,IAP,MILITARY IAP"
FIX:CORTA,CORTA,K6,NY,US,42.67379166,-76.07636944,RP,ZBW,ZNY,,"CONTROLLER LOW,ENROUTE LOW,IAP,SECTIONAL"
FIX:COUPN,COUPN,K6,VA,US,36.71411944,-77.01223333,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
FIX:COUPS,COUPS,K2,CA,US,38.31627222,-121.65262222,RP,ZOA,ZOA,,"CONTROLLER LOW,ENROUTE LOW,IAP"
FIX:COURG,COURG,K6,WV,US,39.20031666,-78.72903333,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
FIX:COVEY,COVEY,K6,VA,US,37.61611944,-80.07537222,RP,ZDC,ZDC,,"CONTROLLER LOW,ENROUTE LOW,IAP"
FIX:CPONE,CPONE,K5,IN,US,41.5252,-86.03030555,WP,ZAU,ZAU,,"CONTROLLER HIGH,ENROUTE HIGH,IAP,STAR"
FIX:CPTAN,CPTAN,K7,FL,US,27.25636388,-80.13163888,WP,ZMA,ZMA,,"CONTROLLER LOW,ENROUTE LOW,STAR"
FIX:CRAMM,CRAMM,K7,MS,US,34.63640277,-88.89857777,WP,ZME,ZME,,"CONTROLLER HIGH,ENROUTE HIGH,STAR"
FIX:CRASY,CRASY,K2,NV,US,38.57640555,-118.14079722,WP,ZOA,ZOA,,"CONTROLLER,ENROUTE HIGH,STAR"
FIX:CREAM,CREAM,K6,NY,US,41.14884722,-72.52175555,RP,,ZBW,,"CONTROLLER LOW,ENROUTE LOW,IAP,SECTIONAL"
FIX:CREEL,CREEL,K6,NY,US,40.44736388,-73.55296666,RP,,ZNY,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW"
FIX:CREEP,CREEP,K5,OH,US,39.92091111,-84.308725,RP,ZID,ZID,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,SID"
FIX:CRESI,CRESI,K6,NJ,US,39.61092222,-74.62629444,RP,,ZDC,,"CONTROLLER LOW,ENROUTE LOW,IAP"
FIX:CRGER,CRGER,K4,TX,US,30.4492,-98.34285,WP,ZHU,ZHU,,SID
FIX:CRIBB,CRIBB,K6,MA,US,42.66553888,-72.45023888,WP,ZBW,ZBW,,"CONTROLLER,ENROUTE HIGH,STAR"
FIX:CRIED,CRIED,K4,TX,US,31.35396666,-95.66141388,RP,ZHU,ZHU,,"CONTROLLER,ENROUTE HIGH,SID,STAR"
FIX:CROWD,CROWD,K7,FL,US,27.66707222,-81.96116388,RP,ZMA,ZMA,,"CONTROLLER LOW,ENROUTE LOW,IAP,SID"
FIX:CRPLR,CRPLR,K6,VA,US,37.60666944,-76.16601944,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
