fromKey,toKey,rawValue,normalizedValue,resolveMethod,resolveStatus,confidence,sourceCycle,sourceTable,sourceRowId
AWY_OCC:T347:C:100,POINT:FIX:GUANO:K7,GUANO,GUANO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7734
AWY_OCC:T347:C:110,POINT:FIX:MRUTT:K7,MRUTT,MRUTT,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7735
AWY_OCC:T347:C:120,POINT:FIX:FOXAM:K7,FOXAM,FOXAM,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7736
AWY_OCC:T347:C:130,POINT:FIX:SEBAG:K7,SEBAG,SEBAG,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7737
AWY_OCC:T348:C:10,POINT:FIX:LESNR:K3,LESNR,LESNR,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7738
AWY_OCC:T348:C:20,POINT:FIX:TECUD:K3,TECUD,TECUD,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7739
AWY_OCC:T348:C:30,POINT:NAVAID:FSD:VORTAC:US:SD:SIOUX_FALLS,FSD,FSD,navaid_id_type_country_state,resolved_navaid,high,2026-05-14,AWY_SEG_ALT,7740
AWY_OCC:T348:C:40,POINT:FIX:BRAIN:K3,BRAIN,BRAIN,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7741
AWY_OCC:T348:C:50,POINT:FIX:DURWN:K3,DURWN,DURWN,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7742
AWY_OCC:T348:C:60,POINT:FIX:ISLER:K3,ISLER,ISLER,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7743
AWY_OCC:T348:C:70,POINT:FIX:GRSIS:K3,GRSIS,GRSIS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7744
AWY_OCC:T348:C:80,POINT:FIX:BLEND:K3,BLEND,BLEND,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7745
AWY_OCC:T348:C:90,POINT:FIX:MOORI:K3,MOORI,MOORI,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7746
AWY_OCC:T348:C:100,POINT:FIX:ZOLET:K3,ZOLET,ZOLET,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7747
AWY_OCC:T348:C:110,POINT:FIX:FOOLS:K3,FOOLS,FOOLS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7748
AWY_OCC:T348:C:120,POINT:FIX:GABDE:K3,GABDE,GABDE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7749
AWY_OCC:T348:C:130,POINT:FIX:DDUCK:K3,DDUCK,DDUCK,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7750
AWY_OCC:T348:C:140,POINT:FIX:KRRTR:K3,KRRTR,KRRTR,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7751
AWY_OCC:T348:C:150,POINT:FIX:BEENZ:K5,BEENZ,BEENZ,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7752
AWY_OCC:T348:C:160,POINT:FIX:AAYDE:K5,AAYDE,AAYDE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7753
AWY_OCC:T348:C:170,POINT:FIX:JOOHR:K5,JOOHR,JOOHR,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7754
AWY_OCC:T348:C:180,POINT:FIX:ROODY:K5,ROODY,ROODY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7755
AWY_OCC:T348:C:190,POINT:FIX:MAYSE:K5,MAYSE,MAYSE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7756
AWY_OCC:T348:C:200,POINT:NAVAID:MSN:VORTAC:US:WI:MADISON,MSN,MSN,navaid_id_type_country_state,resolved_navaid,high,2026-05-14,AWY_SEG_ALT,7757
AWY_OCC:T348:C:210,POINT:FIX:LUNGS:K5,LUNGS,LUNGS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7758
AWY_OCC:T349:C:10,POINT:FIX:NEWER:K7,NEWER,NEWER,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7759
AWY_OCC:T349:C:20,POINT:FIX:GILBI:K7,GILBI,GILBI,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7760
AWY_OCC:T349:C:30,POINT:FIX:KNRAD:K7,KNRAD,KNRAD,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7761
AWY_OCC:T349:C:40,POINT:FIX:CUSEK:K7,CUSEK,CUSEK,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7762
AWY_OCC:T349:C:50,POINT:FIX:QUNCY:K7,QUNCY,QUNCY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7763
AWY_OCC:T349:C:60,POINT:FIX:FEBRO:K7,FEBRO,FEBRO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7764
AWY_OCC:T349:C:70,POINT:FIX:POPSS:K7,POPSS,POPSS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7765
AWY_OCC:T349:C:80,POINT:FIX:YELLZ:K7,YELLZ,YELLZ,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7766
AWY_OCC:T349:C:90,POINT:FIX:WEZER:K7,WEZER,WEZER,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7767
AWY_OCC:T349:C:100,POINT:FIX:VARZE:K7,VARZE,VARZE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7768
AWY_OCC:T349:C:110,POINT:FIX:MILOW:K7,MILOW,MILOW,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7769
