routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,rejectReason
EBONY:NICSO:NAR:1,EBONY,NICSO,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:OMSAT:NAR:1,EBONY,OMSAT,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:PELTU:NAR:1,EBONY,PELTU,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:PHL:NAR:1,EBONY,PHL,NAR,1,origin_airport_not_found
EBONY:PIT:NAR:1,EBONY,PIT,NAR,1,origin_airport_not_found
EBONY:POB:NAR:1,EBONY,POB,NAR,1,origin_airport_not_found
EBONY:PORTI:NAR:1,EBONY,PORTI,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:RAFIN:NAR:1,EBONY,RAFIN,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:RDU:NAR:1,EBONY,RDU,NAR,1,origin_airport_not_found
EBONY:RELIC:NAR:1,EBONY,RELIC,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:RIKAL:NAR:1,EBONY,RIKAL,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:SAXAN:NAR:1,EBONY,SAXAN,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:SDF:NAR:1,EBONY,SDF,NAR,1,origin_airport_not_found
EBONY:SUPRY:NAR:1,EBONY,SUPRY,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:SWF:NAR:1,EBONY,SWF,NAR,1,origin_airport_not_found
EBONY:TEB:NAR:1,EBONY,TEB,NAR,1,origin_airport_not_found
EBONY:TPA:NAR:1,EBONY,TPA,NAR,1,origin_airport_not_found
EBONY:TUDEP:NAR:1,EBONY,TUDEP,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:UMESI:NAR:1,EBONY,UMESI,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
