routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,ROUTE_STRING
DCA:SJC:H:1,DCA,SJC,H,1,,,,,,REBLL5 OTTTO Q176 STL J110 GCK J28 MLF J80 ILC KNGRY RAZRR5
DCA:SLC:H:1,DCA,SLC,H,1,,,,,,REBLL5 OTTTO Q176 STL J24 MCI J80 FQF J116 EKR RACER JAZZZ1
DCA:SLK:H:1,DCA,SLK,H,1,,,,,,HORTO4 JERES Q227 STENT CFB LAMMS
DCA:SMF:H:1,DCA,SMF,H,1,,,,,,REBLL5 OTTTO Q176 BUM J110 ALS DVC ILC CRASY SLMMR5
DCA:SPA:H:1,DCA,SPA,H,1,,,,,,SCRAM6 GLANC FUBLL JUNNR4
DCA:SRQ:H:1,DCA,SRQ,H,1,,"JETS ONLY,  RNAV 1 - DME/DME/IRU OR GPS",,,,JDUBB4 RRSIN GSO Q75 SLOJO Q103 PUPYY KYYUU LUBBR4
DCA:STL:H:1,DCA,STL,H,1,,,,,,REBLL5 OTTTO Q176 BICKS PXV BOOSH3
DCA:SWF:H:1,DCA,SWF,H,1,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,SOOKI6 SWANN BROSS Q419 DPK TRESA1
DCA:SWF:L:1,DCA,SWF,L,1,,GPS OR DME/DME OR IRU EQUIPPED,1100-0300,,,KRANT V265 EMI V457 LRP T295 PRNCE FILPS
DCA:SYR:H:2,DCA,SYR,H,2,,TURBOJETS,,,,HORTO4 JERES Q227 STENT CFB T335 CORTA
DCA:TEB:H:2,DCA,TEB,H,2,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,SOOKI6 SWANN JAIKE4
DCA:TEB:L:2,DCA,TEB,L,2,,TURBOPROP,1100-0400,,,PALEO V170 SWANN MAZIE3
DCA:TEB:TEC:1,DCA,TEB,TEC,1,7000,PROPS,,,,BAL V378 MXE V3 SBJ
DCA:TLH:H:1,DCA,TLH,H,1,,,,,,SCRAM6 GLANC COLZI IRQ PZD SZW
DCA:TMB:H:1,DCA,TMB,H,1,,,,,,AMEEE1 SCOOB PAACK Q97 DEBRL CSTAL3
DCA:TMB:H:2,DCA,TMB,H,2,,,,WATER,,AMEEE1 SCOOB EARZZ SKARP Y313 HOAGG BNFSH3
DCA:TOL:H:1,DCA,TOL,H,1,,,,,,HORTO4 JERES J211 JST EWC
DCA:TPA:H:1,DCA,TPA,H,1,,,,,,JDUBB4 RRSIN GSO Q75 TEUFL BAAMF DADES2
DCA:TUL:H:1,DCA,TUL,H,1,,,,,,REBLL5 OTTTO Q68 HVQ J78 FAM J98 SGF VINTA3
DCA:TVC:H:1,DCA,TVC,H,1,,,,,,HORTO4 BUFFR Q178 DJB
DCA:TYS:H:1,DCA,TYS,H,1,,TURBOJETS,1100-0300,,,CLTCH3 MAULS Q40 ALEAN VXV
DCA:VPS:H:1,DCA,VPS,H,1,,,,,,SCRAM6 GLANC COLZI Q52 CHOPZ MGMRY CEW
DEN:AUS:H:1,DEN,AUS,H,1,,,,,,SABTH2 JOPLN SLIDE UCOKA DILLO LAIKS4
DEN:BUR:H:1,DEN,BUR,H,1,,JETS ONLY: RNAV 1 DME/DME/IRU OR GPS,,,,BAYLR6 TEHRU ROOLL Q94 WELUM JANNY5
DEN:SAT:H:1,DEN,SAT,H,1,,,,,,SABTH2 VRONI PNH PRTZY POPPO2
DEN:SAT:H:2,DEN,SAT,H,2,,,,,,SUDDZ1 SUDDZ CNX J15 CME FST MOPPP DNKIN2
DFW:ATL:H:1,DFW,ATL,H,1,,TURBOJET,,ATL WEST,,FORCK3 FORCK ELD MERDN ORRKK HOBTT3
DFW:ATL:H:2,DFW,ATL,H,2,,TURBOJET,,ATL WEST,,FORCK3 FORCK ELD MERDN ORRKK GNDLF3
DFW:ATL:H:3,DFW,ATL,H,3,,TURBOJET,,,,AKUNA9 MLC RZC ARG MEMFS HUTCC KNSAW RUSSA GLAVN2
DFW:ATL:H:4,DFW,ATL,H,4,,TURBOJET,,,,TRYTN4 LOOSE MEMFS HUTCC KNSAW RUSSA GLAVN2
DFW:ATL:H:5,DFW,ATL,H,5,,TURBOJETS,,,,TRYTN4 LOOSE MEMFS HUTCC KNSAW RUSSA RUTTH CHPPR1
DFW:ATL:H:6,DFW,ATL,H,6,,TURBOJET,,,,AKUNA9 MLC RZC ARG MEMFS HUTCC KNSAW RUSSA GLAVN2
DFW:BCT:H:1,DFW,BCT,H,1,,,,,,MRSSH3 ZALEA MCB J50 CEW J2 DEFUN VUUDU1
DFW:BCT:H:2,DFW,BCT,H,2,,,,WATER,,MRSSH ZALEA HRV Q105 BLVNS Y290 GAWKS VUUDU1
DFW:BDL:H:1,DFW,BDL,H,1,,,,,,TRYTN4 LOOSE MEMFS Q29 JHW Q82 MEMMS WILET STELA1
DFW:BDL:H:2,DFW,BDL,H,2,,,,,,TRYTN4 LOOSE Q34 RBV Q419 DPK DPK3
DFW:BHM:H:1,DFW,BHM,H,1,,RNAV,,,,FORCK IZAAC HRISN NESTS
DFW:BHM:H:2,DFW,BHM,H,2,,,,,,FORCK SQS IGB NESTS
DFW:BHM:H:3,DFW,BHM,H,3,,RNAV,,,,SOLDO IZAAC HRISN NESTS
DFW:BHM:H:4,DFW,BHM,H,4,,,,,,SOLDO SQS IGB NESTS
DFW:BOS:H:1,DFW,BOS,H,1,,,1100-0300,,,ZACHH4 BSKAT LIT J131 PXV KLYNE Q29 JHW Q82 PONCT JFUND2
DFW:BOS:H:2,DFW,BOS,H,2,,,,,,FORCK3 FORCK ELD IZAAC Q30 VLKNN THRSR TWOUP Q22 RBV Q419 JFK ROBUC3
DFW:BWI:H:2,DFW,BWI,H,2,,PT 121&129 JETS ONLY:RNAV 1-DME/DME/IRU OR GPS RQD,,,,TRYTN4 LOOSE Q34 SITTR CJAAE RAVNN9
DFW:CLE:H:1,DFW,CLE,H,1,,RNAV TURBOJET,,,,ZACHH4 BSKAT LIT J131 PXV DRUGA ROKNN4
DFW:CLT:H:2,DFW,CLT,H,2,,,,,,FORCK3 FORCK IZAAC Q30 VLKNN THRSR BESTT JONZE6
DFW:CVG:H:1,DFW,CVG,H,1,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,ZACHH4 BSKAT LIT J131 HUMBO TERGE SARGO5
DFW:CYQG:H:1,DFW,CYQG,H,1,,,,,,ZACHH4 BSKAT LIT J131 PXV VHP FWA LYNTN
DFW:DCA:H:1,DFW,DCA,H,1,,,,,,TRYTN4 LOOSE Q34 SITTR TRUPS5
DFW:DEN:H:1,DFW,DEN,H,1,,,,,,LOWGN8 ROLLS TOTOE HALEN NIIXX4
DFW:DTW:H:1,DFW,DTW,H,1,,DME/DME/IRU OR GPS REQUIRED,,DTW SOUTH FLOW,,ZACHH4 BSKAT LIT J131 PXV WWODD HANBL3
DFW:DTW:H:2,DFW,DTW,H,2,,DME/DME/IRU OR GPS REQUIRED,,DTW NORTH FLOW,,ZACHH4 BSKAT LIT J131 PXV WWODD LECTR3
DFW:EWR:H:2,DFW,EWR,H,2,,,,,,FORCK3 FORCK ELD IZAAC Q30 VLKNN THRSR TWOUP Q22 UMBRE QUART PHLBO4
DFW:EYW:H:1,DFW,EYW,H,1,,,,WATER,,MRSSH3 ZALEA HRV Q105 BLVNS Y290 GAWKS PIKKR KRAKN1
DFW:EYW:H:2,DFW,EYW,H,2,,,,,,MRSSH3 ZALEA MCB J50 CEW J2 DEFUN KRAKN1
DFW:FLL:H:1,DFW,FLL,H,1,,"JETS ONLY,  RNAV 1 - DME/DME/IRU OR GPS.",,WATER,,MRSSH3 ZALEA HRV Q105 BLVNS Y290 DOWRY TEEKY4
DFW:FLL:H:2,DFW,FLL,H,2,,"JETS ONLY,  RNAV 1 - DME/DME/IRU OR GPS.",,,,MRSSH3 ZALEA MCB J50 CEW J2 DEFUN TEEKY4
DFW:HOU:H:3,DFW,HOU,H,3,,NON-TURBOJETS,,,,JPOOL8 ELLVR SNDAY1
DFW:HOU:H:4,DFW,HOU,H,4,,JETS ONLY - RNAV 1 - DME/DME/IRU OR GPS,,,,ARDIA7 ELLVR KIDDZ5
DFW:IAD:H:1,DFW,IAD,H,1,,,,,,TRYTN4 LOOSE Q34 HITMN JARLO GIBBZ5
DFW:IAH:H:1,DFW,IAH,H,1,,NON-ADVANCED NAV ONLY,,,,JPOOL8 TORNN RIICE1
DFW:IAH:H:2,DFW,IAH,H,2,,RNAV TURBOJET,,IAH EAST FLOW,,DARTZ9 TORNN GUSHR3
DFW:IAH:H:3,DFW,IAH,H,3,,RNAV TURBOJET,,IAH WEST FLOW,,DARTZ9 TORNN DRLLR5
DFW:JFK:H:1,DFW,JFK,H,1,,,,,,FORCK3 FORCK ELD IZAAC Q30 VLKNN THRSR HRTWL Q64 SAWED Q108 SIE CAMRN5
DFW:LGA:H:1,DFW,LGA,H,1,,,,,,FORCK3 FORCK ELD IZAAC Q30 VLKNN THRSR TWOUP Q22 BURGG Q60 HURTS PROUD2
