edgeKey,fromNodeKey,toNodeKey,fromType,toType,directionType,sourceRouteCount,sourceRouteKeys
AIRPORT:ARG->FIX:WHOLL,AIRPORT:ARG,FIX:WHOLL,Airport,Fix,original,1,ARG:MEM:SHD:2
AIRPORT:ARG->NAVAID:ARG:VORTAC,AIRPORT:ARG,NAVAID:ARG:VORTAC,Airport,Navaid,original,1,ARG:MEM:SHD:1
AIRPORT:ATL->FIX:BURGG,AIRPORT:ATL,FIX:BURGG,Airport,Fix,original,9,ATL:ACY:H:1|ATL:BDL:H:2|ATL:BOS:H:1|ATL:EWR:H:2|ATL:HPN:H:1|ATL:PHL:H:1|ATL:PVD:H:1|ATL:PWM:H:1|ATL:TEB:H:1
AIRPORT:ATL->FIX:CUTTN,AIRPORT:ATL,FIX:CUTTN,Airport,Fix,original,1,ATL:DEN:H:1
AIRPORT:ATL->FIX:EMAHH,AIRPORT:ATL,FIX:EMAHH,Airport,Fix,original,1,ATL:MSP:H:2
AIRPORT:ATL->FIX:GLAZR,AIRPORT:ATL,FIX:GLAZR,Airport,Fix,original,2,ATL:ORD:H:2|ATL:SDF:H:1
AIRPORT:ATL->FIX:GRGIA,AIRPORT:ATL,FIX:GRGIA,Airport,Fix,original,1,ATL:AUS:H:1
AIRPORT:ATL->FIX:HANKO,AIRPORT:ATL,FIX:HANKO,Airport,Fix,original,2,ATL:DFW:H:3|ATL:DFW:H:4
AIRPORT:ATL->FIX:HRTWL,AIRPORT:ATL,FIX:HRTWL,Airport,Fix,original,3,ATL:JFK:H:1|ATL:ORF:H:1|ATL:PHF:H:1
AIRPORT:ATL->FIX:JAMMR,AIRPORT:ATL,FIX:JAMMR,Airport,Fix,original,2,ATL:HOU:H:2|ATL:IAH:H:3
AIRPORT:ATL->FIX:KELLN,AIRPORT:ATL,FIX:KELLN,Airport,Fix,original,4,ATL:BWI:H:2|ATL:DCA:H:1|ATL:LGA:H:1|ATL:RIC:H:1
