airwayId,airwayLocation,airwayStringRaw,airwayStringTokens,orderedSegValues,tokenCount,pointRowCount,exactTokenMatch,normalizedTokenMatch,firstMismatchIndex,mismatchReason
BR55V,C,PBI MRLIN PREDA BEECH ZBV RAJAY PRUNE HINZY ZQA BURRL SEAAN MUVOD BRRGO,PBI|MRLIN|PREDA|BEECH|ZBV|RAJAY|PRUNE|HINZY|ZQA|BURRL|SEAAN|MUVOD|BRRGO,PBI|MRLIN|PREDA|BEECH|ZBV|RAJAY|PRUNE|HINZY|ZQA|BURRL|SEAAN|MUVOD|BRRGO,13,13,true,true,,exact_match
BR57V,C,FLL DEKAL WIERS ZBV CAREY MAJUR ZQA,FLL|DEKAL|WIERS|ZBV|CAREY|MAJUR|ZQA,FLL|DEKAL|WIERS|ZBV|CAREY|MAJUR|ZQA,7,7,true,true,,exact_match
BR58V,C,ZQA KURAY MELON HANKX BARTS ANGLL,ZQA|KURAY|MELON|HANKX|BARTS|ANGLL,ZQA|KURAY|MELON|HANKX|BARTS|ANGLL,6,6,true,true,,exact_match
BR63V,C,PBI TURPS MIXAE HALBI ULAMA ZFP CEGUR BURBO BAYRU HANKX MELON KURAY ZQA,PBI|TURPS|MIXAE|HALBI|ULAMA|ZFP|CEGUR|BURBO|BAYRU|HANKX|MELON|KURAY|ZQA,PBI|TURPS|MIXAE|HALBI|ULAMA|ZFP|CEGUR|BURBO|BAYRU|HANKX|MELON|KURAY|ZQA,13,13,true,true,,exact_match
BR64V,C,VKZ KAINS QEPRO KUCEP LONNI HEATT MRLIN MUNRO ZFP,VKZ|KAINS|QEPRO|KUCEP|LONNI|HEATT|MRLIN|MUNRO|ZFP,VKZ|KAINS|QEPRO|KUCEP|LONNI|HEATT|MRLIN|MUNRO|ZFP,9,9,true,true,,exact_match
BR65V,C,ZQA PEACH SYDNY LAUTH ZFP RAPPS STIFF ELDER ADOOR,ZQA|PEACH|SYDNY|LAUTH|ZFP|RAPPS|STIFF|ELDER|ADOOR,ZQA|PEACH|SYDNY|LAUTH|ZFP|RAPPS|STIFF|ELDER|ADOOR,9,9,true,true,,exact_match
BR66V,C,VKZ JANUS PADUS ZFP,VKZ|JANUS|PADUS|ZFP,VKZ|JANUS|PADUS|ZFP,4,4,true,true,,exact_match
BR68V,C,FLL MRLIN MUNRO ZFP,FLL|MRLIN|MUNRO|ZFP,FLL|MRLIN|MUNRO|ZFP,4,4,true,true,,exact_match
BR69V,C,ZBV BAHMA MAYKO ZFP JAMAX BENZI JOLTS KIXAL WALIK PBI,ZBV|BAHMA|MAYKO|ZFP|JAMAX|BENZI|JOLTS|KIXAL|WALIK|PBI,ZBV|BAHMA|MAYKO|ZFP|JAMAX|BENZI|JOLTS|KIXAL|WALIK|PBI,10,10,true,true,,exact_match
BR70V,C,FLL TURBO PADUS ZFP GRREG MRRSH ZQA,FLL|TURBO|PADUS|ZFP|GRREG|MRRSH|ZQA,FLL|TURBO|PADUS|ZFP|GRREG|MRRSH|ZQA,7,7,true,true,,exact_match
BR71V,C,ZFP WOPOP WLKER,ZFP|WOPOP|WLKER,ZFP|WOPOP|WLKER,3,3,true,true,,exact_match
BR9L,C,GTK TOMAZ CARAH SKHOT KNSLY,GTK|TOMAZ|CARAH|SKHOT|KNSLY,GTK|TOMAZ|CARAH|SKHOT|KNSLY,5,5,true,true,,exact_match
G1,A,ADK HORTH MORDI TESPE CHUNA UNETE ELF,ADK|HORTH|MORDI|TESPE|CHUNA|UNETE|ELF,ADK|HORTH|MORDI|TESPE|CHUNA|UNETE|ELF,7,7,true,true,,exact_match
G10,A,EHM SPY IVOXE BILBE GENFU ELF SAFKO CFMWC IYUWI PDN ESHOS ZEVON WIDTH RWO,EHM|SPY|IVOXE|BILBE|GENFU|ELF|SAFKO|CFMWC|IYUWI|PDN|ESHOS|ZEVON|WIDTH|RWO,EHM|SPY|IVOXE|BILBE|GENFU|ELF|SAFKO|CFMWC|IYUWI|PDN|ESHOS|ZEVON|WIDTH|RWO,14,14,true,true,,exact_match
G12,A,ELF KOTIZ UCLON MILAM DUGAC HBT RAYMD PEWUK PDN,ELF|KOTIZ|UCLON|MILAM|DUGAC|HBT|RAYMD|PEWUK|PDN,ELF|KOTIZ|UCLON|MILAM|DUGAC|HBT|RAYMD|PEWUK|PDN,9,9,true,true,,exact_match
G2,A,HBT CUBPA GESSE CILAC FEVBO FIGAN JOGMO RWO,HBT|CUBPA|GESSE|CILAC|FEVBO|FIGAN|JOGMO|RWO,HBT|CUBPA|GESSE|CILAC|FEVBO|FIGAN|JOGMO|RWO,8,8,true,true,,exact_match
G205,C,RUTUS KISME GOOFI JUNIE OPLAR GUMGE UNZ GUYES TERYY TEGOD,RUTUS|KISME|GOOFI|JUNIE|OPLAR|GUMGE|UNZ|GUYES|TERYY|TEGOD,RUTUS|KISME|GOOFI|JUNIE|OPLAR|GUMGE|UNZ|GUYES|TERYY|TEGOD,10,10,true,true,,exact_match
G215,A,NRKEY OLCOT PLADO SYA CURVS DUT,NRKEY|OLCOT|PLADO|SYA|CURVS|DUT,NRKEY|OLCOT|PLADO|SYA|CURVS|DUT,6,6,true,true,,exact_match
G223,C,MUBIT OLGIS PHILY RISBA,MUBIT|OLGIS|PHILY|RISBA,MUBIT|OLGIS|PHILY|RISBA,4,4,true,true,,exact_match
G339,C,UNZ SHAWS RIDLL NATSS PAKDO,UNZ|SHAWS|RIDLL|NATSS|PAKDO,UNZ|SHAWS|RIDLL|NATSS|PAKDO,5,5,true,true,,exact_match
G347,C,DATBE DASNE DULCE DUNEY,DATBE|DASNE|DULCE|DUNEY,DATBE|DASNE|DULCE|DUNEY,4,4,true,true,,exact_match
G349,A,MARCC KIVAK PALIN NEONN,MARCC|KIVAK|PALIN|NEONN,MARCC|KIVAK|PALIN|NEONN,4,4,true,true,,exact_match
G437,C,DYNAH JAYEE JEFRY BRONO WELKS ZQA INGRA ELBOW AVOXI BAAGR OMALY MAPYL,DYNAH|JAYEE|JEFRY|BRONO|WELKS|ZQA|INGRA|ELBOW|AVOXI|BAAGR|OMALY|MAPYL,DYNAH|JAYEE|JEFRY|BRONO|WELKS|ZQA|INGRA|ELBOW|AVOXI|BAAGR|OMALY|MAPYL,12,12,true,true,,exact_match
G439,C,DHP MNATE TWNNS DROWN,DHP|MNATE|TWNNS|DROWN,DHP|MNATE|TWNNS|DROWN,4,4,true,true,,exact_match
G444,C,BOTES SAAKO GTK,BOTES|SAAKO|GTK,BOTES|SAAKO|GTK,3,3,true,true,,exact_match
G457,C,DATBE EGKEL EBEBE ELLMS,DATBE|EGKEL|EBEBE|ELLMS,DATBE|EGKEL|EBEBE|ELLMS,4,4,true,true,,exact_match
G467,C,ENDAX YELLO KITSS ACRON PULEE UNZ,ENDAX|YELLO|KITSS|ACRON|PULEE|UNZ,ENDAX|YELLO|KITSS|ACRON|PULEE|UNZ,6,6,true,true,,exact_match
G469,A,NYMPH ONEIL RULOY PINTT CREMR SPY PDN,NYMPH|ONEIL|RULOY|PINTT|CREMR|SPY|PDN,NYMPH|ONEIL|RULOY|PINTT|CREMR|SPY|PDN,7,7,true,true,,exact_match
G504,C,LETON IORIO COUKY FOLLE PRRDO ANGSS STRUD RATTL PVN SHOEZ CARAH ALBBE,LETON|IORIO|COUKY|FOLLE|PRRDO|ANGSS|STRUD|RATTL|PVN|SHOEZ|CARAH|ALBBE,LETON|IORIO|COUKY|FOLLE|PRRDO|ANGSS|STRUD|RATTL|PVN|SHOEZ|CARAH|ALBBE,12,12,true,true,,exact_match
G575,C,WIBIG CINTO BIGBY APIDD HILCO FICKY,WIBIG|CINTO|BIGBY|APIDD|HILCO|FICKY,WIBIG|CINTO|BIGBY|APIDD|HILCO|FICKY,6,6,true,true,,exact_match
G583,A,BESAT MARCC MUNRI ENM,BESAT|MARCC|MUNRI|ENM,BESAT|MARCC|MUNRI|ENM,4,4,true,true,,exact_match
G629,C,KNSLY RAPPR CATHI PVN EGANN RAHAM LYMIN,KNSLY|RAPPR|CATHI|PVN|EGANN|RAHAM|LYMIN,KNSLY|RAPPR|CATHI|PVN|EGANN|RAHAM|LYMIN,7,7,true,true,,exact_match
