airwayId,airwayLocation,pointSeq,currentPoint,nextPoint,gapFlagActive,signalGapFlagActive,meaGapActive,doglegActive,isTerminalPoint,hasCurrentCleanNextEdge,gapPositionClass,sourceRowNumber
BR9L,C,10,GTK,TOMAZ,false,false,true,false,false,true,mea_unusable,612
G1,A,20,HORTH,MORDI,false,false,false,true,false,true,dogleg_turn_point,618
G1,A,30,MORDI,TESPE,false,false,false,true,false,true,dogleg_turn_point,619
G10,A,80,CFMWC,IYUWI,false,false,false,true,false,true,dogleg_turn_point,631
G467,C,10,ENDAX,YELLO,false,false,true,false,false,true,mea_unusable,711
G575,C,10,WIBIG,CINTO,false,false,true,false,false,true,mea_unusable,736
G629,C,20,RAPPR,CATHI,false,false,true,false,false,true,mea_unusable,747
G8,A,70,MORDI,TESPE,false,false,false,true,false,true,dogleg_turn_point,773
J1,C,10,TIJ,U.S. MEXICAN BORDER-2,false,false,true,false,false,true,mea_unusable,789
J10,C,50,PIONE,TNP,false,false,false,true,false,true,dogleg_turn_point,811
J10,C,80,HIPPI,FLG,false,false,false,true,false,true,dogleg_turn_point,814
J10,C,130,LBF,DSM,true,false,true,false,false,true,multiple_flags,819
J100,C,70,NORRA,BCE,false,false,false,true,false,true,dogleg_turn_point,828
J100,C,80,BCE,SAKES,false,true,false,false,false,true,signal_coverage_gap,829
J100,C,100,EKR,FROGS,false,true,false,false,false,true,signal_coverage_gap,831
J100,C,120,SNY,DBQ,true,false,true,false,false,true,multiple_flags,833
J101,C,20,LFK,SKKIP,false,true,false,false,false,true,signal_coverage_gap,838
J101,C,60,CISAR,LIT,false,false,false,true,false,true,dogleg_turn_point,842
J101,C,120,SPI,OBK,true,false,true,false,false,true,multiple_flags,848
J102,C,40,BOLIC,ZUN,false,false,false,true,false,true,dogleg_turn_point,856
J104,C,50,PIONE,TNP,false,false,false,true,false,true,dogleg_turn_point,869
J104,C,80,WLVRN,CULTS,false,false,false,true,false,true,dogleg_turn_point,872
J107,C,30,CIVET,RESOR,false,false,false,true,false,true,dogleg_turn_point,898
J107,C,100,MLF,URNUW,false,true,false,false,false,true,signal_coverage_gap,905
J108,C,40,GINGR,INK,false,false,false,true,false,true,dogleg_turn_point,913
