airwayKey,airwayPathKey,anyGapActive,gapFlagRaw,signalGapFlagRaw,doglegRaw,sourceTable,rowCount,sampleFromPointKeys,sampleToPointKeys,sampleSourceRowIds
AIRWAY:Q1,AIRWAY_PATH:Q1:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:SQUIM:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,3367
AIRWAY:Q140,AIRWAY_PATH:Q140:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:FIX:RAGIX:K6,3730|3731
AIRWAY:Q151,AIRWAY_PATH:Q151:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:EDGES:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,3834
AIRWAY:Q186,AIRWAY_PATH:Q186:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:FIX:FOODO:K5,4009|4010
AIRWAY:Q186,AIRWAY_PATH:Q186:C,true,Y,N,Y,AWY_SEG_ALT,1,POINT:FIX:STUNK:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4008
AIRWAY:Q190,AIRWAY_PATH:Q190:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:FIX:PRANI:K5,4041|4042
AIRWAY:Q190,AIRWAY_PATH:Q190:C,true,Y,N,Y,AWY_SEG_ALT,1,POINT:FIX:RONZY:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4040
AIRWAY:Q29,AIRWAY_PATH:Q29:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:DUNOM:K6,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4175
AIRWAY:Q436,AIRWAY_PATH:Q436:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:FIX:CFHHD:K6,4360|4361
AIRWAY:Q436,AIRWAY_PATH:Q436:C,true,Y,N,Y,AWY_SEG_ALT,1,POINT:FIX:CFGCQ:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4359
AIRWAY:Q438,AIRWAY_PATH:Q438:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:FIX:CFKHS:K6,4386|4387
AIRWAY:Q438,AIRWAY_PATH:Q438:C,true,Y,N,Y,AWY_SEG_ALT,1,POINT:FIX:CFJHV:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4385
AIRWAY:Q440,AIRWAY_PATH:Q440:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:FIX:CFKHS:K6,4425|4426
AIRWAY:Q440,AIRWAY_PATH:Q440:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:FIX:CFJHV:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4424
AIRWAY:Q475,AIRWAY_PATH:Q475:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:TUSKY:K,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4460
AIRWAY:Q801,AIRWAY_PATH:Q801:A,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:FIX:EEVER:PA,4793|4794
AIRWAY:Q801,AIRWAY_PATH:Q801:A,true,Y,N,Y,AWY_SEG_ALT,1,POINT:FIX:CYVIC:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4792
AIRWAY:Q806,AIRWAY_PATH:Q806:C,false,N,N,N,AWY_SEG_ALT,1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:FIX:VINDI:K6,4801
AIRWAY:Q806,AIRWAY_PATH:Q806:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:VIGDU:K6,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,4805
AIRWAY:Q811,AIRWAY_PATH:Q811:A,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:OYELI:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4830
AIRWAY:Q812,AIRWAY_PATH:Q812:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:FIX:CFQHD:K6,4837|4838
AIRWAY:Q812,AIRWAY_PATH:Q812:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:FIX:CFPXT:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,4836
AIRWAY:Q816,AIRWAY_PATH:Q816:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:FIX:CFQHD:K6,4852|4853
AIRWAY:Q816,AIRWAY_PATH:Q816:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:FIX:CFRCN:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4851
AIRWAY:Q818,AIRWAY_PATH:Q818:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4,POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:FIX:CFTBR:K6,4862|4863
AIRWAY:Q818,AIRWAY_PATH:Q818:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:FIX:CFSMW:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,4861
AIRWAY:Q822,AIRWAY_PATH:Q822:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:FIX:CFVXC:K6,4885|4886
AIRWAY:Q822,AIRWAY_PATH:Q822:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:ALLEX:K,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,4895
AIRWAY:Q822,AIRWAY_PATH:Q822:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:FIX:CFSMW:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,4884
AIRWAY:Q824,AIRWAY_PATH:Q824:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:CFWBG:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4899
AIRWAY:Q828,AIRWAY_PATH:Q828:C,false,N,N,N,AWY_SEG_ALT,1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:FIX:FARID:K3,4901
AIRWAY:Q834,AIRWAY_PATH:Q834:C,false,N,N,N,AWY_SEG_ALT,1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:FIX:ALBNG:K3,4913
