procedureKey,procedureType,variantCount,matchedVariantCount,connectedMatchedVariantCount,notConnectedMatchedVariantCount,uniqueInterfacePointCount,connectedInterfacePointCount,hasAnyMatchedVariant,hasAnyConnectedMatchedVariant,allMatchedVariantsUnconnected,onlyIncompleteVariants
PROCEDURE:DP:DARRK3.DARRK,DP,20,20,4,16,5,1,true,true,false,false
PROCEDURE:DP:DARTZ9.DARTZ,DP,10,10,10,0,2,2,true,true,false,false
PROCEDURE:DP:DAVVY2.DAVVY,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DAWNN1.DAWNN,DP,2,2,1,1,2,1,true,true,false,false
PROCEDURE:DP:DDANY3.DDANY,DP,8,8,2,6,4,1,true,true,false,false
PROCEDURE:DP:DDRTH1.DDRTH,DP,5,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DECOT1.DECOT,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DEEZZ6.DEEZZ,DP,6,6,6,0,2,2,true,true,false,false
PROCEDURE:DP:DEZRT2.DEZRT,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:DIBVY3.GAL,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DIDLY5.DIDLY,DP,4,4,4,0,4,4,true,true,false,false
PROCEDURE:DP:DITTI1.DITTI,DP,2,2,1,1,2,1,true,true,false,false
PROCEDURE:DP:DIVD2.HLN,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DIVYD2.DIVYD,DP,4,4,2,2,4,2,true,true,false,false
PROCEDURE:DP:DIXON2.DYNES,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DIXXY8.DIXXY,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DLN2.DLN,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DOCTR5.DOCTR,DP,8,8,8,0,2,2,true,true,false,false
PROCEDURE:DP:DOOKK3.DOOKK,DP,3,3,2,1,3,2,true,true,false,false
PROCEDURE:DP:DORMR3.DORMR,DP,2,2,1,1,2,1,true,true,false,false
PROCEDURE:DP:DORRL2.DORRL,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:DOTSS2.DOTSS,DP,8,8,0,8,2,0,true,false,true,false
PROCEDURE:DP:DOVER5.DOVER,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DRAKE2.DRK,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DRRLL4.DRRLL,DP,1,1,0,1,1,0,true,false,true,false
PROCEDURE:DP:DRURY4.DRURY,DP,6,6,3,3,2,1,true,true,false,false
PROCEDURE:DP:DRUSE5.DRUSE,DP,10,10,10,0,2,2,true,true,false,false
PROCEDURE:DP:DSD4.DSD,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DTA1.DTA,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DUCKZ5.DUCKZ,DP,3,3,0,3,1,0,true,false,true,false
PROCEDURE:DP:DUKPN1.DUKPN,DP,28,28,16,12,7,4,true,true,false,false
PROCEDURE:DP:DUMZU1.DUMZU,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DVT3.PXR,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EAT2.EAT,DP,1,0,0,0,1,0,false,false,false,true
