fromKey,toKey,rawValue,normalizedValue,resolveMethod,resolveStatus,confidence,sourceCycle,sourceTable,sourceRowId
TEMPLATE:PFR:ACY:CXY:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,120
TEMPLATE:PFR:ACY:DCA:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,121
TEMPLATE:PFR:ACY:ELM:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,122
TEMPLATE:PFR:ACY:EWB:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,123
TEMPLATE:PFR:ACY:EWR:TEC:3,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,124
TEMPLATE:PFR:ACY:FLL:H:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,125
TEMPLATE:PFR:ACY:FLL:H:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,126
TEMPLATE:PFR:ACY:FLL:H:3,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,127
TEMPLATE:PFR:ACY:GON:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,128
TEMPLATE:PFR:ACY:HFD:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,129
TEMPLATE:PFR:ACY:HPN:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,130
TEMPLATE:PFR:ACY:HPN:TEC:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,131
TEMPLATE:PFR:ACY:HYA:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,132
TEMPLATE:PFR:ACY:IAD:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,133
TEMPLATE:PFR:ACY:IAD:TEC:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,134
TEMPLATE:PFR:ACY:ISP:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,135
TEMPLATE:PFR:ACY:ISP:TEC:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,136
TEMPLATE:PFR:ACY:JFK:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,137
TEMPLATE:PFR:ACY:JFK:TEC:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,138
TEMPLATE:PFR:ACY:LGA:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,139
TEMPLATE:PFR:ACY:LGA:TEC:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,140
TEMPLATE:PFR:ACY:LGA:TEC:3,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,141
TEMPLATE:PFR:ACY:LNS:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,142
TEMPLATE:PFR:ACY:MCO:H:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,143
TEMPLATE:PFR:ACY:MCO:H:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,144
TEMPLATE:PFR:ACY:MCO:H:3,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,145
TEMPLATE:PFR:ACY:MDT:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,146
TEMPLATE:PFR:ACY:MHT:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,147
TEMPLATE:PFR:ACY:MMK:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,148
TEMPLATE:PFR:ACY:MVY:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,149
TEMPLATE:PFR:ACY:MYR:H:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,150
TEMPLATE:PFR:ACY:OQU:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,151
TEMPLATE:PFR:ACY:ORH:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,152
TEMPLATE:PFR:ACY:PBI:H:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,153
TEMPLATE:PFR:ACY:PBI:H:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,154
TEMPLATE:PFR:ACY:PHL:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,155
