airwayOccurrenceKey,airwayPathKey,awyId,awyLocation,pointSeq,rawFromPoint,rawFromPointType,rawToPoint,rawNextMeaPoint,resolvedPointKey,resolveStatus,occurrenceRole,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A332:C:20,AIRWAY_PATH:A332:C,A332,C,20,HALLI,WP,HELOP,HELOP,POINT:FIX:HALLI:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,52
AWY_OCC:A332:C:30,AIRWAY_PATH:A332:C,A332,C,30,HELOP,WP,HEKAB,HEKAB,POINT:FIX:HELOP:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,53
AWY_OCC:A332:C:40,AIRWAY_PATH:A332:C,A332,C,40,HEKAB,WP,HEMLO,HEMLO,POINT:FIX:HEKAB:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,54
AWY_OCC:A332:C:50,AIRWAY_PATH:A332:C,A332,C,50,HEMLO,WP,,,POINT:FIX:HEMLO:P,resolved_fix,END,2026-05-14,AWY_SEG_ALT,55
AWY_OCC:A337:C:10,AIRWAY_PATH:A337:C,A337,C,10,JUNIE,RP,AXIDE,AXIDE,POINT:FIX:JUNIE:PG,resolved_fix,START,2026-05-14,AWY_SEG_ALT,56
AWY_OCC:A337:C:20,AIRWAY_PATH:A337:C,A337,C,20,AXIDE,WP,FONUG,FONUG,POINT:FIX:AXIDE:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,57
AWY_OCC:A337:C:30,AIRWAY_PATH:A337:C,A337,C,30,FONUG,WP,SNAPP,SNAPP,POINT:FIX:FONUG:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,58
AWY_OCC:A337:C:40,AIRWAY_PATH:A337:C,A337,C,40,SNAPP,RP,TEEDE,TEEDE,POINT:FIX:SNAPP:PG,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,59
AWY_OCC:A337:C:50,AIRWAY_PATH:A337:C,A337,C,50,TEEDE,WP,TEGOD,TEGOD,POINT:FIX:TEEDE:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,60
AWY_OCC:A337:C:60,AIRWAY_PATH:A337:C,A337,C,60,TEGOD,WP,,,POINT:FIX:TEGOD:P,resolved_fix,END,2026-05-14,AWY_SEG_ALT,61
AWY_OCC:A339:C:10,AIRWAY_PATH:A339:C,A339,C,10,SHREE,WP,WRNNR,WRNNR,POINT:FIX:SHREE:P,resolved_fix,START,2026-05-14,AWY_SEG_ALT,62
AWY_OCC:A339:C:20,AIRWAY_PATH:A339:C,A339,C,20,WRNNR,WP,TILLY,TILLY,POINT:FIX:WRNNR:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,63
AWY_OCC:A339:C:30,AIRWAY_PATH:A339:C,A339,C,30,TILLY,WP,KEITH,KEITH,POINT:FIX:TILLY:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,64
AWY_OCC:A339:C:40,AIRWAY_PATH:A339:C,A339,C,40,KEITH,WP,,,POINT:FIX:KEITH:P,resolved_fix,END,2026-05-14,AWY_SEG_ALT,65
AWY_OCC:A342:A:10,AIRWAY_PATH:A342:A,A342,A,10,NUZAN,WP,OPAKE,OPAKE,POINT:FIX:NUZAN:P,resolved_fix,START,2026-05-14,AWY_SEG_ALT,66
AWY_OCC:A342:A:20,AIRWAY_PATH:A342:A,A342,A,20,OPAKE,WP,PINSO,PINSO,POINT:FIX:OPAKE:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,67
AWY_OCC:A342:A:30,AIRWAY_PATH:A342:A,A342,A,30,PINSO,WP,AMOND,AMOND,POINT:FIX:PINSO:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,68
AWY_OCC:A342:A:40,AIRWAY_PATH:A342:A,A342,A,40,AMOND,RP,DRAPP,DRAPP,POINT:FIX:AMOND:PA,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,69
AWY_OCC:A342:A:50,AIRWAY_PATH:A342:A,A342,A,50,DRAPP,RP,CRYPT,CRYPT,POINT:FIX:DRAPP:PA,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,70
AWY_OCC:A342:A:60,AIRWAY_PATH:A342:A,A342,A,60,CRYPT,RP,CDB,CDB,POINT:FIX:CRYPT:PA,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,71
AWY_OCC:A342:A:70,AIRWAY_PATH:A342:A,A342,A,70,CDB,VORTAC,,,POINT:NAVAID:CDB:VORTAC:US:AK:COLD_BAY,resolved_navaid,END,2026-05-14,AWY_SEG_ALT,72
AWY_OCC:A450:C:10,AIRWAY_PATH:A450:C,A450,C,10,CAHYO,WP,TNUGE,TNUGE,POINT:FIX:CAHYO:P,resolved_fix,START,2026-05-14,AWY_SEG_ALT,73
AWY_OCC:A450:C:20,AIRWAY_PATH:A450:C,A450,C,20,TNUGE,WP,PIGFA,PIGFA,POINT:FIX:TNUGE:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,74
AWY_OCC:A450:C:30,AIRWAY_PATH:A450:C,A450,C,30,PIGFA,WP,LOEBB,LOEBB,POINT:FIX:PIGFA:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,75
AWY_OCC:A450:C:40,AIRWAY_PATH:A450:C,A450,C,40,LOEBB,WP,BUCAT,BUCAT,POINT:FIX:LOEBB:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,76
AWY_OCC:A450:C:50,AIRWAY_PATH:A450:C,A450,C,50,BUCAT,WP,UNZ,UNZ,POINT:FIX:BUCAT:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,77
AWY_OCC:A450:C:60,AIRWAY_PATH:A450:C,A450,C,60,UNZ,VORTAC,BAGBE,BAGBE,POINT:NAVAID:UNZ:VORTAC:US:GU:AGANA,resolved_navaid,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,78
AWY_OCC:A450:C:70,AIRWAY_PATH:A450:C,A450,C,70,BAGBE,RP,HOPPY,HOPPY,POINT:FIX:BAGBE:PG,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,79
AWY_OCC:A450:C:80,AIRWAY_PATH:A450:C,A450,C,80,HOPPY,RP,FONUG,FONUG,POINT:FIX:HOPPY:PG,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,80
AWY_OCC:A450:C:90,AIRWAY_PATH:A450:C,A450,C,90,FONUG,WP,STINE,STINE,POINT:FIX:FONUG:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,81
AWY_OCC:A450:C:100,AIRWAY_PATH:A450:C,A450,C,100,STINE,RP,DEWSS,DEWSS,POINT:FIX:STINE:PG,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,82
AWY_OCC:A450:C:110,AIRWAY_PATH:A450:C,A450,C,110,DEWSS,WP,JIMOS,JIMOS,POINT:FIX:DEWSS:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,83
AWY_OCC:A450:C:120,AIRWAY_PATH:A450:C,A450,C,120,JIMOS,WP,NGUEN,NGUEN,POINT:FIX:JIMOS:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,84
AWY_OCC:A450:C:130,AIRWAY_PATH:A450:C,A450,C,130,NGUEN,WP,NATIE,NATIE,POINT:FIX:NGUEN:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,85
AWY_OCC:A450:C:140,AIRWAY_PATH:A450:C,A450,C,140,NATIE,WP,RESEE,RESEE,POINT:FIX:NATIE:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,86
AWY_OCC:A450:C:150,AIRWAY_PATH:A450:C,A450,C,150,RESEE,WP,SYSTA,SYSTA,POINT:FIX:RESEE:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,87
AWY_OCC:A450:C:160,AIRWAY_PATH:A450:C,A450,C,160,SYSTA,WP,BRIUN,BRIUN,POINT:FIX:SYSTA:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,88
AWY_OCC:A450:C:170,AIRWAY_PATH:A450:C,A450,C,170,BRIUN,WP,HOOPA,HOOPA,POINT:FIX:BRIUN:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,89
AWY_OCC:A450:C:180,AIRWAY_PATH:A450:C,A450,C,180,HOOPA,WP,KATHS,KATHS,POINT:FIX:HOOPA:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,90
AWY_OCC:A450:C:190,AIRWAY_PATH:A450:C,A450,C,190,KATHS,RP,,,POINT:FIX:KATHS:PH,resolved_fix,END,2026-05-14,AWY_SEG_ALT,91
AWY_OCC:A509:C:10,AIRWAY_PATH:A509:C,A509,C,10,URSUS,RP,ELLEE,ELLEE,POINT:FIX:URSUS:K,resolved_fix,START,2026-05-14,AWY_SEG_ALT,92
AWY_OCC:A509:C:20,AIRWAY_PATH:A509:C,A509,C,20,ELLEE,RP,EONNS,EONNS,POINT:FIX:ELLEE:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,93
AWY_OCC:A509:C:30,AIRWAY_PATH:A509:C,A509,C,30,EONNS,RP,JURER,JURER,POINT:FIX:EONNS:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,94
AWY_OCC:A509:C:40,AIRWAY_PATH:A509:C,A509,C,40,JURER,RP,DHP,DHP,POINT:FIX:JURER:K7,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,95
AWY_OCC:A509:C:50,AIRWAY_PATH:A509:C,A509,C,50,DHP,VORTAC,MARCI,MARCI,POINT:NAVAID:DHP:VORTAC:US:FL:MIAMI,resolved_navaid,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,96
AWY_OCC:A509:C:60,AIRWAY_PATH:A509:C,A509,C,60,MARCI,RP,,,POINT:FIX:MARCI:K7,resolved_fix,END,2026-05-14,AWY_SEG_ALT,97
AWY_OCC:A517:C:10,AIRWAY_PATH:A517:C,A517,C,10,ZPATA,RP,PJM,PJM,POINT:FIX:ZPATA:TJ,resolved_fix,START,2026-05-14,AWY_SEG_ALT,98
AWY_OCC:A517:C:20,AIRWAY_PATH:A517:C,A517,C,20,PJM,VOR/DME,,,POINT:NAVAID:PJM:VOR/DME:AN::PHILIPSBURG,resolved_navaid,END,2026-05-14,AWY_SEG_ALT,99
AWY_OCC:A554:C:10,AIRWAY_PATH:A554:C,A554,C,10,LAMER,WP,RODRK,,POINT:FIX:LAMER:K,resolved_fix,START,2026-05-14,AWY_SEG_ALT,100
AWY_OCC:A554:C:20,AIRWAY_PATH:A554:C,A554,C,20,RODRK,WP,CERDA,,POINT:FIX:RODRK:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,101
AWY_OCC:A554:C:30,AIRWAY_PATH:A554:C,A554,C,30,CERDA,WP,EYSEL,,POINT:FIX:CERDA:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,102
AWY_OCC:A554:C:40,AIRWAY_PATH:A554:C,A554,C,40,EYSEL,WP,NETTA,,POINT:FIX:EYSEL:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,103
AWY_OCC:A554:C:50,AIRWAY_PATH:A554:C,A554,C,50,NETTA,RP,GTK,,POINT:FIX:NETTA:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,104
AWY_OCC:A554:C:60,AIRWAY_PATH:A554:C,A554,C,60,GTK,VOR/DME,TAANA,,POINT:NAVAID:GTK:VOR/DME:TC::GRAND_TURK_ISLAND,resolved_navaid,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,105
AWY_OCC:A554:C:70,AIRWAY_PATH:A554:C,A554,C,70,TAANA,RP,SEKAR,,POINT:FIX:TAANA:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,106
AWY_OCC:A554:C:80,AIRWAY_PATH:A554:C,A554,C,80,SEKAR,RP,,,POINT:FIX:SEKAR:MD,resolved_fix,END,2026-05-14,AWY_SEG_ALT,107
AWY_OCC:A555:C:10,AIRWAY_PATH:A555:C,A555,C,10,ILURI,RP,PORQE,PORQE,POINT:FIX:ILURI:K,resolved_fix,START,2026-05-14,AWY_SEG_ALT,108
AWY_OCC:A555:C:20,AIRWAY_PATH:A555:C,A555,C,20,PORQE,RP,COY,COY,POINT:FIX:PORQE:TI,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,109
AWY_OCC:A555:C:30,AIRWAY_PATH:A555:C,A555,C,30,COY,VOR/DME,VEDAS,VEDAS,POINT:NAVAID:COY:VOR/DME:US:VI:ST_CROIX,resolved_navaid,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,110
AWY_OCC:A555:C:40,AIRWAY_PATH:A555:C,A555,C,40,VEDAS,RP,TUUNA,TUUNA,POINT:FIX:VEDAS:TJ,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,111
AWY_OCC:A555:C:50,AIRWAY_PATH:A555:C,A555,C,50,TUUNA,RP,DDP,DDP,POINT:FIX:TUUNA:TJ,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,112
AWY_OCC:A555:C:60,AIRWAY_PATH:A555:C,A555,C,60,DDP,NDB,IDAHO,IDAHO,POINT:NAVAID:DDP:NDB:US:PR:SAN_JUAN,resolved_navaid,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,113
AWY_OCC:A555:C:70,AIRWAY_PATH:A555:C,A555,C,70,IDAHO,RP,HARDE,HARDE,POINT:FIX:IDAHO:TJ,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,114
AWY_OCC:A555:C:80,AIRWAY_PATH:A555:C,A555,C,80,HARDE,RP,GRADI,GRADI,POINT:FIX:HARDE:TJ,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,115
AWY_OCC:A555:C:90,AIRWAY_PATH:A555:C,A555,C,90,GRADI,RP,KARRN,KARRN,POINT:FIX:GRADI:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,116
AWY_OCC:A555:C:100,AIRWAY_PATH:A555:C,A555,C,100,KARRN,RP,SEBUG,SEBUG,POINT:FIX:KARRN:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,117
AWY_OCC:A555:C:110,AIRWAY_PATH:A555:C,A555,C,110,SEBUG,RP,COCBU,COCBU,POINT:FIX:SEBUG:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,118
AWY_OCC:A555:C:120,AIRWAY_PATH:A555:C,A555,C,120,COCBU,RP,GTK,GTK,POINT:FIX:COCBU:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,119
AWY_OCC:A555:C:130,AIRWAY_PATH:A555:C,A555,C,130,GTK,VOR/DME,MAYAG,MAYAG,POINT:NAVAID:GTK:VOR/DME:TC::GRAND_TURK_ISLAND,resolved_navaid,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,120
AWY_OCC:A555:C:140,AIRWAY_PATH:A555:C,A555,C,140,MAYAG,RP,RATTL,RATTL,POINT:FIX:MAYAG:K7,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,121
AWY_OCC:A555:C:150,AIRWAY_PATH:A555:C,A555,C,150,RATTL,RP,EGANN,EGANN,POINT:FIX:RATTL:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,122
AWY_OCC:A555:C:160,AIRWAY_PATH:A555:C,A555,C,160,EGANN,RP,MICAS,MICAS,POINT:FIX:EGANN:K7,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,123
AWY_OCC:A555:C:170,AIRWAY_PATH:A555:C,A555,C,170,MICAS,RP,BTLER,BTLER,POINT:FIX:MICAS:K7,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,124
